Business_Name,Question_ID,Question,Parameter,Value,Notes
Car_Dealership,1.1,Initial Capital & Starting Conditions,Starting_Capital_USD,,Initial investment amount
Car_Dealership,1.2,Initial Capital & Starting Conditions,Business_Size,,Small/Medium/Large_Enterprise
Car_Dealership,1.3,Initial Capital & Starting Conditions,Market_Position,,Startup/Established/Market_Leader
Car_Dealership,2.1,Risk Profile,Risk_Tolerance,,Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Car_Dealership,2.2,Risk Profile,Volatility_Level,,Low/Medium/High
Car_Dealership,2.3,Risk Profile,Maximum_Drawdown,,Maximum acceptable loss percentage
Car_Dealership,3.1,Hedging Strategy,Hedge_Instruments,,Options/Futures/Diversification/Insurance
Car_Dealership,3.2,Hedging Strategy,Hedge_Ratio,,Percentage of exposure hedged
Car_Dealership,3.3,Hedging Strategy,Hedge_Frequency,,Daily/Weekly/Monthly adjustments
Car_Dealership,4.1,Business-Specific Factors,Revenue_Model,,Seasonal/Cyclical/Growth/Defensive
Car_Dealership,4.2,Business-Specific Factors,Key_Drivers,,Main factors affecting performance
Car_Dealership,4.3,Business-Specific Factors,Market_Sensitivity,,Sensitivity to economic conditions
Car_Dealership,5.1,Target Performance,Annual_Return_Goal,,Realistic annual return target
Car_Dealership,5.2,Target Performance,Growth_Phase,,Early_Growth/Maturity/Expansion
Car_Dealership,5.3,Target Performance,Exit_Strategy,,Long-term_Hold/Periodic_Rebalancing

Food_Company,1.1,Initial Capital & Starting Conditions,Starting_Capital_USD,,Initial investment amount
Food_Company,1.2,Initial Capital & Starting Conditions,Business_Size,,Small/Medium/Large_Enterprise
Food_Company,1.3,Initial Capital & Starting Conditions,Market_Position,,Startup/Established/Market_Leader
Food_Company,2.1,Risk Profile,Risk_Tolerance,,Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Food_Company,2.2,Risk Profile,Volatility_Level,,Low/Medium/High
Food_Company,2.3,Risk Profile,Maximum_Drawdown,,Maximum acceptable loss percentage
Food_Company,3.1,Hedging Strategy,Hedge_Instruments,,Options/Futures/Diversification/Insurance
Food_Company,3.2,Hedging Strategy,Hedge_Ratio,,Percentage of exposure hedged
Food_Company,3.3,Hedging Strategy,Hedge_Frequency,,Daily/Weekly/Monthly adjustments
Food_Company,4.1,Business-Specific Factors,Revenue_Model,,Seasonal/Cyclical/Growth/Defensive
Food_Company,4.2,Business-Specific Factors,Key_Drivers,,Main factors affecting performance
Food_Company,4.3,Business-Specific Factors,Market_Sensitivity,,Sensitivity to economic conditions
Food_Company,5.1,Target Performance,Annual_Return_Goal,,Realistic annual return target
Food_Company,5.2,Target Performance,Growth_Phase,,Early_Growth/Maturity/Expansion
Food_Company,5.3,Target Performance,Exit_Strategy,,Long-term_Hold/Periodic_Rebalancing

Crypto_Whale,1.1,Initial Capital & Starting Conditions,Starting_Capital_USD,,Initial investment amount
