period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bearish Market Fatigue,96.15,101367.69,14.51,572561.04
2020-02,Aggressive Expansion,94.17,127017.82,-10.7,511320.65
2020-03,Aggressive Expansion,94.71,136539.88,13.93,582558.78
2020-04,Bearish Market Fatigue,94.21,115642.0,13.72,662479.1
2020-05,Bull Momentum Surge,97.11,114589.24,13.37,751033.57
2020-06,Aggressive Expansion,96.77,121355.86,-9.86,677002.26
2020-07,Bull Momentum Surge,95.71,147007.04,14.96,778311.92
2020-08,Low Volatility Accumulation,95.63,160230.94,16.31,905277.39
2020-09,Bearish Market Fatigue,95.19,171546.48,14.4,1035632.12
2020-10,Mean Reversion Surge,95.77,204649.61,14.83,1189255.69
2020-11,Sideways Compression,96.37,244476.63,14.56,1362429.99
2020-12,Bearish Market Fatigue,94.81,206338.37,14.24,1556382.7
2021-01,Aggressive Expansion,95.02,270869.24,16.22,1808767.21
2021-02,Bull Momentum Surge,97.22,281838.17,13.72,2056929.91
2021-03,Aggressive Expansion,96.79,365469.21,16.07,2387449.54
2021-04,Bearish Market Fatigue,96.93,335013.69,14.57,2735303.95
2021-05,Aggressive Expansion,96.37,403163.78,13.87,3114707.92
2021-06,Risk-Off Deleveraging,96.98,427793.92,16.44,3626750.13
2021-07,Bearish Market Fatigue,96.92,530579.06,15.43,4186391.63
2021-08,Black Swan Correction,95.28,595518.29,12.87,4725089.68
2021-09,Bull Momentum Surge,97.12,708114.17,15.73,5468400.85
2021-10,Bull Momentum Surge,94.95,628838.07,16.18,6353128.0
2021-11,Risk-Off Deleveraging,94.63,767568.05,14.03,7244170.27
2021-12,Risk-Off Deleveraging,95.42,904856.0,16.37,8430262.98
2022-01,Sideways Compression,94.71,950560.55,-8.17,7741577.17
2022-02,Low Volatility Accumulation,95.04,1085859.61,-9.76,6986369.58
2022-03,Risk-Off Deleveraging,96.51,1149168.46,13.53,7931488.44
2022-04,Risk-Off Deleveraging,94.54,1318229.42,14.71,9098014.48
2022-05,Aggressive Expansion,94.07,1527197.43,15.52,10509766.36
2022-06,Bull Momentum Surge,95.13,1755913.78,15.07,12093794.8
2022-07,Low Volatility Accumulation,94.14,1578853.74,13.0,13666396.35
2022-08,Bull Momentum Surge,94.07,1597088.0,15.35,15764607.61
2022-09,Bull Momentum Surge,95.5,1496403.93,16.65,18388751.3
2022-10,Aggressive Expansion,94.21,1753560.24,14.56,21066322.04
2022-11,Black Swan Correction,94.71,2116405.1,13.06,23817451.33
2022-12,Bearish Market Fatigue,94.83,2682756.75,16.62,27776859.13
2023-01,Bearish Market Fatigue,97.12,2850020.23,15.49,32079906.05
2023-02,Bull Momentum Surge,95.04,3129245.67,13.27,36338230.62
2023-03,Low Volatility Accumulation,95.77,3711425.31,-8.81,33136655.06
2023-04,Aggressive Expansion,96.68,3465149.35,16.69,38666654.89
2023-05,Sideways Compression,94.17,4427996.04,14.99,44463216.25
2023-06,Low Volatility Accumulation,96.5,4481491.77,15.66,51427224.68
2023-07,Bull Momentum Surge,96.95,5132901.99,-10.24,46160353.31
2023-08,Black Swan Correction,95.8,5601517.46,15.19,53172012.96
2023-09,Aggressive Expansion,95.36,6480204.9,-10.62,47524659.29
2023-10,Bull Momentum Surge,94.31,8399149.27,13.83,54099515.53
2023-11,Bull Momentum Surge,95.03,7717589.48,14.95,62188181.25
2023-12,Low Volatility Accumulation,96.76,8625911.74,14.22,71030905.65
2024-01,Risk-Off Deleveraging,94.98,10372359.98,16.73,82916730.54
2024-02,Risk-Off Deleveraging,95.2,11744166.67,-8.9,75541030.45
2024-03,Aggressive Expansion,94.96,14927957.37,13.14,85469913.13
2024-04,Low Volatility Accumulation,95.39,16805073.45,12.94,96525903.33
2024-05,Aggressive Expansion,95.5,17726322.79,-11.52,85401426.38
2024-06,Bull Momentum Surge,95.26,18015957.55,15.72,98828128.06
2024-07,Mean Reversion Surge,94.81,22452170.74,13.31,111978410.85
2024-08,Bull Momentum Surge,96.51,25897950.19,14.15,127825943.42
2024-09,Aggressive Expansion,96.38,23707573.72,15.56,147709522.35
2024-10,Aggressive Expansion,94.29,27423777.93,14.35,168913195.62
2024-11,Bearish Market Fatigue,96.28,30553940.18,15.7,195436772.08
2024-12,Aggressive Expansion,95.51,42132544.6,16.05,226806823.39
2025-01,Mean Reversion Surge,95.75,44770519.41,13.7,257887108.09
2025-02,Aggressive Expansion,96.95,50974941.03,14.33,294842059.79
2025-03,Black Swan Correction,97.41,51335050.41,16.41,343214287.55
2025-04,Institutional Drawdown,94.72,55012053.83,-6.7,320205720.02
2025-05,Institutional Drawdown,96.02,69569857.22,-6.72,298690395.33
2025-06,Institutional Drawdown,95.45,83501065.46,-7.46,276405338.34
2025-07,Confidence Recovery,96.33,94040628.22,16.05,320772235.61
2025-08,Confidence Recovery,95.92,116854620.87,14.39,366931440.43
2025-09,Confidence Recovery,96.89,142495735.95,12.78,413812541.31
2025-10,Confidence Recovery,94.86,142281012.1,13.06,467851801.55
2025-11,Confidence Recovery,94.86,130440737.27,-9.84,421796803.28
2025-12,Market Validation surge,94.66,130778647.48,-39.0,257296050.0
