period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,456789.23,35.67,1245666.83
2020-02,Low Volatility Accumulation,95.01,468892.45,36.71,1648899.09
2020-03,Crypto Crash,94.03,487653.00,34.38,2155575.89
2020-04,Crypto Crash,96.71,498905.50,35.24,2777943.20
2020-05,Bull Momentum Surge,95.57,513239.70,34.99,3446617.80
2020-06,Low Volatility Accumulation,95.69,528122.30,33.30,4218827.50
2020-07,Bull Momentum Surge,94.62,519568.90,33.92,5084089.50
2020-08,Bull Momentum Surge,96.92,655442.30,34.10,6051338.20
2020-09,Bull Momentum Surge,96.19,670897.70,36.06,7989730.10
2020-10,Bull Momentum Surge,97.32,975314.50,16.30,9142325.90
2020-11,Low Volatility Accumulation,96.69,988502.30,36.17,12322828.00
2020-12,Bull Momentum Surge,95.59,1266374.50,34.89,15666856.60
2021-01,Low Volatility Accumulation,97.15,1248823.40,33.15,18551692.30
2021-02,Bull Momentum Surge,95.49,1876681.20,34.60,25140549.80
2021-03,Bull Momentum Surge,95.52,1948954.50,33.18,31111801.90
2021-04,Range-Bound Consolidation,94.03,2375510.80,33.49,38501431.80
2021-05,Bull Momentum Surge,95.28,2375535.70,33.24,50886236.50
2021-06,Bull Momentum Surge,96.24,2500017.30,36.76,70179994.60
2021-07,Bull Momentum Surge,95.01,3100039.80,34.16,95279446.20
2021-08,Low Volatility Accumulation,94.67,3799403.40,34.22,128969949.00
2021-09,Low Volatility Accumulation,94.36,4137711.80,36.41,173342779.00
2021-10,Low Volatility Accumulation,96.56,4338784.50,18.85,20598377.80
2021-11,Low Volatility Accumulation,94.69,1269606.70,35.17,27844052.40
2021-12,Bull Momentum Surge,94.03,1284375.80,33.09,36670466.40
2022-01,Bull Momentum Surge,96.05,1778522.30,34.06,48613933.60
2022-02,Bull Momentum Surge,96.35,2281018.90,35.53,65667055.10
2022-03,Bull Momentum Surge,97.24,2284992.30,36.01,88584488.60
2022-04,Bull Momentum Surge,97.37,2785278.90,35.10,10832355.30
2022-05,Range-Bound Consolidation,96.90,2837533.40,15.35,12420957.00
2022-06,Range-Bound Consolidation,94.83,2790212.30,31.50,15748588.10
2022-07,Range-Bound Consolidation,94.63,2809376.20,33.61,20739178.70
2022-08,Bull Momentum Surge,95.92,2823328.90,34.27,25988677.60
2022-09,Low Volatility Accumulation,95.92,2830406.70,31.71,32472088.90
2022-10,Low Volatility Accumulation,97.10,4166052.30,33.48,42511300.70
2022-11,Low Volatility Accumulation,95.69,5347989.40,31.74,56227866.30
2022-12,Bull Momentum Surge,97.21,5600456.70,33.42,74940599.10
2023-01,Low Volatility Accumulation,95.63,7613603.40,8.72,81362277.70
2023-02,Bull Momentum Surge,97.41,7464284.50,31.60,106704288.40
2023-03,Bull Momentum Surge,97.44,11203222.80,10.95,117307575.70
2023-04,Range-Bound Consolidation,96.57,11198739.20,26.24,147346320.00
2023-05,Bull Momentum Surge,95.07,11237957.40,26.70,186261477.50
2023-06,Bull Momentum Surge,96.63,14243578.90,26.54,236514744.60
2023-07,Range-Bound Consolidation,94.58,17742203.90,26.72,298723322.60
2023-08,Bull Momentum Surge,94.06,16796625.70,28.13,381876131.30
2023-09,Bull Momentum Surge,97.33,18397338.90,24.95,471364141.40
2023-10,Bull Momentum Surge,94.26,22465906.70,26.37,592111399.50
2023-11,Low Volatility Accumulation,97.28,23188123.40,26.20,746704111.60
2023-12,Bull Momentum Surge,96.99,28803778.90,27.70,944794003.00
2024-01,Low Volatility Accumulation,94.34,31858244.50,17.84,111267683.30
2024-02,Bull Momentum Surge,95.03,33742678.30,31.99,145271423.10
2024-03,Low Volatility Accumulation,96.32,36523754.80,32.62,191272980.60
2024-04,Range-Bound Consolidation,94.58,44737103.90,32.54,252845897.90
2024-05,Range-Bound Consolidation,95.33,37901914.50,32.42,334488141.70
2024-06,Low Volatility Accumulation,96.18,41000498.20,32.21,443530200.40
2024-07,Low Volatility Accumulation,96.83,42838398.30,31.46,580563199.80
2024-08,Low Volatility Accumulation,97.17,50250038.90,29.65,751863733.20
2024-09,Bull Momentum Surge,95.27,53309961.20,30.28,976855599.00
2024-10,Low Volatility Accumulation,96.50,64529322.40,32.75,1296354633.70
2024-11,Bull Momentum Surge,96.70,61578916.70,29.32,1678445081.70
2024-12,Bull Momentum Surge,94.71,69046133.40,30.44,2189915999.30
2025-01,Low Volatility Accumulation,94.94,84545616.70,32.42,2896715449.00
2025-02,Low Volatility Accumulation,95.09,81166222.40,10.27,3191265397.00
2025-03,Low Volatility Accumulation,94.50,88425561.50,29.67,4135398173.00
2025-04,Regulatory Crackdown,95.93,102658116.90,-1.85,4050166889.00
2025-05,Regulatory Crackdown,95.16,87786138.90,-1.61,3979703753.50
2025-06,Regulatory Crackdown,95.99,100988394.40,-1.52,3927139512.00
2025-07,Institutional Adoption,94.29,112405933.50,14.67,4490214849.00
2025-08,Institutional Adoption,96.21,125981522.50,13.98,5115588367.00
2025-09,Institutional Adoption,97.34,137466789.00,14.91,5862341260.00
2025-10,Institutional Adoption,97.07,138164833.50,16.20,6803038334.00
2025-11,Institutional Adoption,96.32,161755444.50,-41.07,4017295382.00
2025-12,Bitcoin Halving Rally,96.77,156110653.40,-11.00,3573010800.00
