period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,156789.23,15.67,185666.83
2020-02,Low Volatility Accumulation,95.01,158892.45,16.71,214899.09
2020-03,Supply Chain Disruption,94.03,167653.00,14.38,245575.89
2020-04,Supply Chain Disruption,96.71,168905.50,15.24,277794.32
2020-05,Bull Momentum Surge,95.57,173239.70,14.99,314661.78
2020-06,Low Volatility Accumulation,95.69,188122.30,13.30,351882.75
2020-07,Bull Momentum Surge,94.62,179568.90,13.92,398408.95
2020-08,Bull Momentum Surge,96.92,275442.30,14.10,471338.20
2020-09,Bull Momentum Surge,96.19,290897.70,16.06,568973.01
2020-10,Bull Momentum Surge,97.32,475314.50,-4.70,542232.59
2020-11,Low Volatility Accumulation,96.69,488502.30,16.17,676282.80
2020-12,Bull Momentum Surge,95.59,766374.50,14.89,866685.66
2021-01,Low Volatility Accumulation,97.15,748823.40,13.15,995169.23
2021-02,Bull Momentum Surge,95.49,1376681.20,14.60,1244054.98
2021-03,Bull Momentum Surge,95.52,1448954.50,13.18,1511180.19
2021-04,Range-Bound Consolidation,94.03,1875510.80,13.49,1741431.38
2021-05,Bull Momentum Surge,95.28,1875535.70,13.24,2088623.65
2021-06,Bull Momentum Surge,96.24,2000017.30,16.76,2917999.46
2021-07,Bull Momentum Surge,95.01,2600039.80,14.16,3807944.62
2021-08,Low Volatility Accumulation,94.67,3299403.40,14.22,4796999.49
2021-09,Low Volatility Accumulation,94.36,3637711.80,16.41,6333427.79
2021-10,Low Volatility Accumulation,96.56,3838784.50,-5.15,3639837.78
2021-11,Low Volatility Accumulation,94.69,579606.70,15.17,544405.24
2021-12,Bull Momentum Surge,94.03,594375.80,13.09,7267046.64
2022-01,Bull Momentum Surge,96.05,788522.30,14.06,9461393.60
2022-02,Bull Momentum Surge,96.35,1241018.90,15.53,12667055.10
2022-03,Bull Momentum Surge,97.24,1244992.30,16.01,16584488.60
2022-04,Bull Momentum Surge,97.37,1745278.90,15.10,21532355.30
2022-05,Range-Bound Consolidation,96.90,1797533.40,-8.65,1562095.70
2022-06,Range-Bound Consolidation,94.83,1750212.30,11.50,2248588.10
2022-07,Range-Bound Consolidation,94.63,1769376.20,13.61,2739178.70
2022-08,Bull Momentum Surge,95.92,1783328.90,14.27,3298867.60
2022-09,Low Volatility Accumulation,95.92,1790406.70,11.71,4247208.90
2022-10,Low Volatility Accumulation,97.10,3126052.30,13.48,5251130.70
2022-11,Low Volatility Accumulation,95.69,4307989.40,11.74,6222786.60
2022-12,Bull Momentum Surge,97.21,4560456.70,13.42,7994059.90
2023-01,Low Volatility Accumulation,95.63,6573603.40,-1.28,6462277.70
2023-02,Bull Momentum Surge,97.41,6424284.50,15.60,8170428.80
2023-03,Bull Momentum Surge,97.44,10103222.80,-7.05,9390757.50
2023-04,Range-Bound Consolidation,96.57,10098739.20,12.24,11346320.00
2023-05,Bull Momentum Surge,95.07,10137957.40,12.70,13261477.50
2023-06,Bull Momentum Surge,96.63,13143578.90,12.54,14651474.60
2023-07,Range-Bound Consolidation,94.58,16642203.90,12.72,16272332.60
2023-08,Bull Momentum Surge,94.06,15696625.70,14.13,18787613.10
2023-09,Bull Momentum Surge,97.33,17297338.90,10.95,19236414.10
2023-10,Bull Momentum Surge,94.26,21365906.70,12.37,22011139.90
2023-11,Low Volatility Accumulation,97.28,22088123.40,12.20,24770411.10
2023-12,Bull Momentum Surge,96.99,27703778.90,13.70,28979400.30
2024-01,Low Volatility Accumulation,94.34,30758244.50,-0.16,28976833.30
2024-02,Bull Momentum Surge,95.03,32642678.30,15.99,34271423.10
2024-03,Low Volatility Accumulation,96.32,35423754.80,16.62,39672980.60
2024-04,Range-Bound Consolidation,94.58,43637103.90,16.54,46884589.70
2024-05,Range-Bound Consolidation,95.33,36801914.50,16.42,54488141.70
2024-06,Low Volatility Accumulation,96.18,39900498.20,16.21,62530200.40
2024-07,Low Volatility Accumulation,96.83,41738398.30,15.46,70556319.80
2024-08,Low Volatility Accumulation,97.17,49150038.90,13.65,77186373.20
2024-09,Bull Momentum Surge,95.27,52209961.20,14.28,87685559.00
2024-10,Low Volatility Accumulation,96.50,63429322.40,16.75,102635463.30
2024-11,Bull Momentum Surge,96.70,60478916.70,13.32,116445081.10
2024-12,Bull Momentum Surge,94.71,67946133.40,14.44,133491599.30
2025-01,Low Volatility Accumulation,94.94,83445616.70,16.42,155671544.90
2025-02,Low Volatility Accumulation,95.09,80066222.40,-1.73,78126539.70
2025-03,Low Volatility Accumulation,94.50,87425561.50,13.67,98539817.70
2025-04,Semiconductor Shortage,95.93,101658116.90,-4.85,93901688.80
2025-05,Semiconductor Shortage,95.16,86786138.90,-4.61,89703753.30
2025-06,Semiconductor Shortage,95.99,99888394.40,-4.52,85713951.10
2025-07,AI Chip Boom,94.29,112405933.50,12.67,104021484.40
2025-08,AI Chip Boom,96.21,125981522.50,11.98,118558836.60
2025-09,AI Chip Boom,97.34,137466789.00,12.91,136234126.00
2025-10,AI Chip Boom,97.07,138164833.50,14.20,158303833.40
2025-11,AI Chip Boom,96.32,161755444.50,-41.07,93295388.20
2025-12,Consumer Electronics Rally,96.77,156110653.40,-13.00,79301080.00
