period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,12567.23,8.67,14566.83
2020-02,Low Volatility Accumulation,95.01,12892.45,9.71,15489.09
2020-03,Pandemic Disruption,94.03,13765.30,7.38,15875.89
2020-04,Pandemic Disruption,96.71,13890.55,8.24,16494.32
2020-05,Bull Momentum Surge,95.57,14233.97,7.99,17061.78
2020-06,Low Volatility Accumulation,95.69,14812.23,6.30,17188.75
2020-07,Bull Momentum Surge,94.62,13956.89,6.92,17408.95
2020-08,Bull Momentum Surge,96.92,18544.23,7.10,17733.82
2020-09,Bull Momentum Surge,96.19,19089.77,9.06,18573.01
2020-10,Bull Momentum Surge,97.32,27531.45,-2.70,18032.59
2020-11,Low Volatility Accumulation,96.69,28850.23,9.17,18882.80
2020-12,Bull Momentum Surge,95.59,35637.45,7.89,19468.66
2021-01,Low Volatility Accumulation,97.15,34882.34,6.15,19569.23
2021-02,Bull Momentum Surge,95.49,47681.12,7.60,19954.98
2021-03,Bull Momentum Surge,95.52,48995.45,6.18,20018.19
2021-04,Range-Bound Consolidation,94.03,57510.78,6.49,20143.38
2021-05,Bull Momentum Surge,95.28,57535.67,6.24,20263.65
2021-06,Bull Momentum Surge,96.24,60003.45,9.76,21199.46
2021-07,Bull Momentum Surge,95.01,720039.89,7.16,21594.62
2021-08,Low Volatility Accumulation,94.67,759940.34,7.22,21999.49
2021-09,Low Volatility Accumulation,94.36,827711.78,9.41,23042.79
2021-10,Low Volatility Accumulation,96.56,86878.45,-0.15,22983.78
2021-11,Low Volatility Accumulation,94.69,113920.67,8.17,23740.24
2021-12,Bull Momentum Surge,94.03,116875.89,6.09,23870.64
2022-01,Bull Momentum Surge,96.05,135704.45,7.06,24139.36
2022-02,Bull Momentum Surge,96.35,176203.78,8.53,24867.51
2022-03,Bull Momentum Surge,97.24,176992.34,9.01,25844.86
2022-04,Bull Momentum Surge,97.37,216527.89,8.10,26323.53
2022-05,Range-Bound Consolidation,96.90,227533.45,-1.65,25995.70
2022-06,Range-Bound Consolidation,94.83,218042.34,4.50,26448.81
2022-07,Range-Bound Consolidation,94.63,221876.23,6.61,27491.87
2022-08,Bull Momentum Surge,95.92,224665.78,7.27,28788.76
2022-09,Low Volatility Accumulation,95.92,226080.67,4.71,29320.89
2022-10,Low Volatility Accumulation,97.10,253210.45,6.48,30513.07
2022-11,Low Volatility Accumulation,95.69,276959.89,4.74,31178.63
2022-12,Bull Momentum Surge,97.21,290045.67,6.42,32340.59
2023-01,Low Volatility Accumulation,95.63,362720.34,-2.28,31662.77
2023-02,Bull Momentum Surge,97.41,349285.45,5.60,32404.28
2023-03,Bull Momentum Surge,97.44,440322.78,-3.05,30075.75
2023-04,Range-Bound Consolidation,96.57,439739.23,4.24,30632.00
2023-05,Bull Momentum Surge,95.07,447591.45,4.70,31614.75
2023-06,Bull Momentum Surge,96.63,508717.89,4.54,32474.46
2023-07,Range-Bound Consolidation,94.58,578440.78,4.72,33233.26
2023-08,Bull Momentum Surge,94.06,559325.67,6.13,34776.13
2023-09,Bull Momentum Surge,97.33,591946.78,2.95,35164.14
2023-10,Bull Momentum Surge,94.26,673181.34,4.37,36011.39
2023-11,Low Volatility Accumulation,97.28,687624.67,4.20,36941.16
2023-12,Bull Momentum Surge,96.99,800755.78,5.70,38379.40
2024-01,Low Volatility Accumulation,94.34,861644.45,-4.16,36768.33
2024-02,Bull Momentum Surge,95.03,898535.67,7.99,39271.42
2024-03,Low Volatility Accumulation,96.32,954754.89,8.62,41929.80
2024-04,Range-Bound Consolidation,94.58,1117420.78,8.54,44745.89
2024-05,Range-Bound Consolidation,95.33,980391.45,8.42,47388.14
2024-06,Low Volatility Accumulation,96.18,1040098.23,8.21,50530.20
2024-07,Low Volatility Accumulation,96.83,1087679.67,7.46,53463.19
2024-08,Low Volatility Accumulation,97.17,1225000.78,5.65,55563.73
2024-09,Bull Momentum Surge,95.27,1266199.23,6.28,57985.59
2024-10,Low Volatility Accumulation,96.50,1490586.45,8.75,62035.46
2024-11,Bull Momentum Surge,96.70,1431578.34,5.32,64045.08
2024-12,Bull Momentum Surge,94.71,1580922.67,6.44,66915.99
2025-01,Low Volatility Accumulation,94.94,1890912.34,8.42,71371.54
2025-02,Low Volatility Accumulation,95.09,1823324.45,-1.73,70126.53
2025-03,Low Volatility Accumulation,94.50,1968512.23,5.67,72739.81
2025-04,Commodity Price Shock,95.93,2253162.34,-2.85,69101.68
2025-05,Commodity Price Shock,95.16,1955722.78,-2.61,65970.37
2025-06,Commodity Price Shock,95.99,2219767.89,-2.52,62713.95
2025-07,Supply Chain Recovery,94.29,2448118.67,4.67,65721.48
2025-08,Supply Chain Recovery,96.21,2719630.45,3.98,68558.83
2025-09,Supply Chain Recovery,97.34,2949335.78,4.91,72034.12
2025-10,Supply Chain Recovery,97.07,2963296.67,6.20,76638.33
2025-11,Supply Chain Recovery,96.32,3435108.89,-41.07,43995.38
2025-12,Holiday Season Surge,96.77,3322130.67,-5.00,41701.08
