period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,345678.23,12.67,265666.83
2020-02,Low Volatility Accumulation,95.01,348892.45,13.71,324899.09
2020-03,Grid Demand Drop,94.03,357653.00,11.38,375575.89
2020-04,Grid Demand Drop,96.71,358905.50,12.24,427794.32
2020-05,Bull Momentum Surge,95.57,363239.70,11.99,484661.78
2020-06,Low Volatility Accumulation,95.69,378122.30,10.30,541882.75
2020-07,Bull Momentum Surge,94.62,369568.90,10.92,618408.95
2020-08,Bull Momentum Surge,96.92,465442.30,11.10,721338.20
2020-09,Bull Momentum Surge,96.19,480897.70,13.06,858973.01
2020-10,Bull Momentum Surge,97.32,775314.50,-6.70,804232.59
2020-11,Low Volatility Accumulation,96.69,788502.30,13.17,976282.80
2020-12,Bull Momentum Surge,95.59,1066374.50,11.89,1166685.66
2021-01,Low Volatility Accumulation,97.15,1048823.40,10.15,1355169.23
2021-02,Bull Momentum Surge,95.49,1676681.20,11.60,1544054.98
2021-03,Bull Momentum Surge,95.52,1748954.50,10.18,1811180.19
2021-04,Range-Bound Consolidation,94.03,2175510.80,10.49,2041431.38
2021-05,Bull Momentum Surge,95.28,2175535.70,10.24,2388623.65
2021-06,Bull Momentum Surge,96.24,2300017.30,13.76,3117999.46
2021-07,Bull Momentum Surge,95.01,2900039.80,11.16,3807944.62
2021-08,Low Volatility Accumulation,94.67,3599403.40,11.22,4796999.49
2021-09,Low Volatility Accumulation,94.36,3937711.80,13.41,6133427.79
2021-10,Low Volatility Accumulation,96.56,4138784.50,-4.15,3969837.78
2021-11,Low Volatility Accumulation,94.69,629606.70,12.17,544405.24
2021-12,Bull Momentum Surge,94.03,644375.80,10.09,7267046.64
2022-01,Bull Momentum Surge,96.05,838522.30,11.06,9461393.60
2022-02,Bull Momentum Surge,96.35,1341018.90,12.53,12667055.10
2022-03,Bull Momentum Surge,97.24,1344992.30,13.01,16584488.60
2022-04,Bull Momentum Surge,97.37,1845278.90,12.10,21532355.30
2022-05,Range-Bound Consolidation,96.90,1897533.40,-7.65,1762095.70
2022-06,Range-Bound Consolidation,94.83,1850212.30,7.50,2248588.10
2022-07,Range-Bound Consolidation,94.63,1869376.20,9.61,2739178.70
2022-08,Bull Momentum Surge,95.92,1883328.90,10.27,3298867.60
2022-09,Low Volatility Accumulation,95.92,1890406.70,7.71,4247208.90
2022-10,Low Volatility Accumulation,97.10,3226052.30,9.48,5251130.70
2022-11,Low Volatility Accumulation,95.69,4407989.40,7.74,6222786.60
2022-12,Bull Momentum Surge,97.21,4660456.70,9.42,7994059.90
2023-01,Low Volatility Accumulation,95.63,6673603.40,-0.28,7962277.70
2023-02,Bull Momentum Surge,97.41,6524284.50,7.60,9170428.80
2023-03,Bull Momentum Surge,97.44,10203222.80,-1.05,10190757.50
2023-04,Range-Bound Consolidation,96.57,10198739.20,6.24,11346320.00
2023-05,Bull Momentum Surge,95.07,10237957.40,6.70,13261477.50
2023-06,Bull Momentum Surge,96.63,13243578.90,6.54,14651474.60
2023-07,Range-Bound Consolidation,94.58,16742203.90,6.72,16272332.60
2023-08,Bull Momentum Surge,94.06,15796625.70,8.13,18787613.10
2023-09,Bull Momentum Surge,97.33,17397338.90,4.95,19236414.10
2023-10,Bull Momentum Surge,94.26,21465906.70,6.37,22011139.90
2023-11,Low Volatility Accumulation,97.28,22188123.40,6.20,24770411.10
2023-12,Bull Momentum Surge,96.99,27803778.90,7.70,28979400.30
2024-01,Low Volatility Accumulation,94.34,30858244.50,-2.16,27676833.30
2024-02,Bull Momentum Surge,95.03,32742678.30,7.99,32271423.10
2024-03,Low Volatility Accumulation,96.32,35523754.80,8.62,36672980.60
2024-04,Range-Bound Consolidation,94.58,43737103.90,8.54,41884589.70
2024-05,Range-Bound Consolidation,95.33,36901914.50,8.42,47488141.70
2024-06,Low Volatility Accumulation,96.18,40000498.20,8.21,52530200.40
2024-07,Low Volatility Accumulation,96.83,41838398.30,7.46,58556319.80
2024-08,Low Volatility Accumulation,97.17,49250038.90,5.65,63186373.20
2024-09,Bull Momentum Surge,95.27,52309961.20,6.28,68685559.00
2024-10,Low Volatility Accumulation,96.50,63529322.40,8.75,77635463.30
2024-11,Bull Momentum Surge,96.70,60578916.70,5.32,82445081.10
2024-12,Bull Momentum Surge,94.71,68046133.40,6.44,87491599.30
2025-01,Low Volatility Accumulation,94.94,83545616.70,8.42,94671544.90
2025-02,Low Volatility Accumulation,95.09,80166222.40,-1.73,78126539.70
2025-03,Low Volatility Accumulation,94.50,87425561.50,5.67,82539817.70
2025-04,Energy Price Volatility,95.93,101658116.90,-3.85,78501688.80
2025-05,Energy Price Volatility,95.16,86786138.90,-3.61,74970375.30
2025-06,Energy Price Volatility,95.99,99888394.40,-3.52,71713951.10
2025-07,Green Energy Transition,94.29,112405933.50,6.67,79602148.40
2025-08,Green Energy Transition,96.21,125981522.50,5.98,84555883.60
2025-09,Green Energy Transition,97.34,137466789.00,6.91,88234126.00
2025-10,Green Energy Transition,97.07,138164833.50,8.20,95030383.30
2025-11,Green Energy Transition,96.32,161755444.50,-41.07,56295388.20
2025-12,Infrastructure Investment,96.77,156110653.40,-11.00,50301080.00
