Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,38.63,4250.0,61423.03,231423.03
2020-02,-37.34,4250.0,-90657.23,140765.8
2020-03,-50.4,4250.0,-75191.75,65574.05
2020-04,24.24,4250.0,11647.01,77221.06
2020-05,25.87,4250.0,15723.24,92944.29
2020-06,19.71,4250.0,14067.65,107011.94
2020-07,22.02,4250.0,19308.97,126320.91
2020-08,43.03,4250.0,50105.17,176426.08
2020-09,14.28,4250.0,20950.34,197376.42
2020-10,37.15,4250.0,69069.16,266445.58
2020-11,21.12,4250.0,52035.88,318481.46
2020-12,22.16,4250.0,66316.05,384797.51
2021-01,37.0,4250.0,110303.8,419922.18
2021-02,1.67,4250.0,2750.87,422673.05
2021-03,15.25,4250.0,60189.62,482862.67
2021-04,14.75,4250.0,66985.86,549848.53
2021-05,33.15,4250.0,178038.5,727887.03
2021-06,15.05,4250.0,105316.4,833203.44
2021-07,22.1,4250.0,179927.85,1013131.28
2021-08,7.55,4250.0,72210.2,1085341.48
2021-09,37.67,4250.0,404612.89,1489954.37
2021-10,19.52,4250.0,286537.9,1776492.27
2021-11,29.07,4250.0,512095.55,2288587.82
2021-12,29.47,4250.0,670174.34,2958762.16
2022-01,-8.47,4250.0,-176359.81,1855202.03
2022-02,4.04,4250.0,70655.54,1925857.57
2022-03,-14.89,4250.0,-291045.96,1634811.6
2022-04,0.33,4250.0,1095.78,1635907.38
2022-05,-12.38,4250.0,-206712.67,1429194.71
2022-06,-2.74,4250.0,-43475.21,1385719.51
2022-07,-11.02,4250.0,-156946.44,1228773.06
2022-08,-4.12,4250.0,-54922.72,1173850.34
2022-09,-11.28,4250.0,-136642.04,1037208.3
2022-10,-10.43,4250.0,-112398.44,924809.87
2022-11,-22.22,4250.0,-209697.05,715112.82
2022-12,-3.4,4250.0,-28577.42,686535.39
2023-01,11.98,4250.0,77974.81,764510.21
2023-02,24.77,4250.0,185152.14,949662.34
2023-03,-5.93,4250.0,-60518.7,889143.65
2023-04,30.65,4250.0,268283.35,1157427.0
2023-05,-9.93,4250.0,-119182.91,1038244.09
2023-06,15.86,4250.0,160445.49,1198689.58
2023-07,-1.31,4250.0,-19998.77,1178690.81
2023-08,-4.05,4250.0,-51982.53,1126708.28
2023-09,40.7,4250.0,454268.89,1580977.16
2023-10,15.71,4250.0,244178.45,1825155.61
2023-11,28.31,4250.0,512473.02,2337628.63
2023-12,16.09,4250.0,371950.04,2709578.67
2024-01,-0.23,4250.0,-8909.37,1992604.15
2024-02,4.89,4250.0,93266.09,2085870.25
2024-03,15.75,4250.0,324176.07,2410046.32
2024-04,37.64,4250.0,902839.61,3312885.93
2024-05,21.4,4250.0,704690.1,4017576.02
2024-06,15.99,4250.0,638257.99,4655834.01
2024-07,-27.98,4250.0,-1307168.74,3348665.27
2024-08,3.64,4250.0,117482.02,3466147.28
2024-09,7.98,4250.0,272422.56,3738569.84
2024-10,10.01,4250.0,370052.36,4108622.2
2024-11,-16.91,4250.0,-699108.78,3409513.43
2024-12,9.56,4250.0,321559.36,3731072.79
2025-01,26.38,4250.0,820160.84,3945887.89
2025-02,28.08,4250.0,1103725.5,5049613.39
2025-03,13.72,4250.0,688337.57,5737950.96
2025-04,24.21,4250.0,1385181.99,7123132.95
2025-05,0.28,4250.0,15817.78,7138950.73
2025-06,11.47,4250.0,814835.8,7953786.53
2025-07,16.99,4250.0,1347281.75,9301068.28
2025-08,8.03,4250.0,742738.43,10043806.71
2025-09,33.36,4250.0,3346835.01,13390641.71
2025-10,-7.48,4250.0,-1006478.67,12384163.04
2025-11,6.17,4250.0,759597.88,13143760.92
2025-12,9.23,4250.0,1208558.87,14352319.79
