Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,-10.08,44100.00,-291147.58,2158852.42
2020-02,-11.94,44100.00,-301897.55,1856954.87
2020-03,11.22,44100.00,164325.70,2021280.57
2020-04,12.27,44100.00,203901.11,2225181.69
2020-05,53.11,44100.00,1137626.32,3362808.00
2020-06,14.78,44100.00,453087.68,3815895.69
2020-07,-2.29,44100.00,-131408.28,3684487.41
2020-08,24.85,44100.00,871558.40,4556045.82
2020-09,12.47,44100.00,524071.22,5080117.04
2020-10,23.57,44100.00,1153233.62,6233350.66
2020-11,34.42,44100.00,2101299.89,8334650.56
2020-12,-11.70,44100.00,-1019166.88,7315483.67
2021-01,26.26,44100.00,1877069.58,9192553.26
2021-02,47.26,44100.00,4300213.72,13492766.97
2021-03,36.81,44100.00,4922189.96,18414956.93
2021-04,66.65,44100.00,12229280.02,30644236.95
2021-05,12.84,44100.00,3890714.67,34534951.62
2021-06,-40.15,44100.00,-13909431.98,20625519.64
2021-07,-28.17,44100.00,-5854824.72,14770694.92
2021-08,52.69,44100.00,7738142.31,22508837.23
2021-09,56.83,44100.00,12747404.73,35256241.96
2021-10,16.24,44100.00,5682608.35,40938850.32
2021-11,-30.77,44100.00,-12640151.94,28298698.38
2021-12,-18.25,44100.00,-5208994.74,23089703.64
2022-01,8.21,44100.00,1852383.56,24942087.21
2022-02,-25.04,44100.00,-6289947.87,18652139.33
2022-03,-17.83,44100.00,-3370683.39,15281455.94
2022-04,-59.83,44100.00,-9186461.21,6094994.73
2022-05,-11.10,44100.00,-720708.17,5374286.56
2022-06,25.11,44100.00,1305297.41,6679583.97
2022-07,-0.16,44100.00,-54833.03,6624750.94
2022-08,-18.41,44100.00,-1263645.81,5361105.13
2022-09,-2.82,44100.00,-195257.37,5165847.76
2022-10,-10.03,44100.00,-562213.31,4603634.46
2022-11,7.01,44100.00,278631.39,4882265.85
2022-12,19.92,44100.00,928304.92,5810570.77
2023-01,-8.09,44100.00,-514222.34,5296348.44
2023-02,11.55,44100.00,567451.79,5863800.22
2023-03,45.79,44100.00,2640853.92,8504654.14
2023-04,13.00,44100.00,1061815.75,9566469.89
2023-05,22.44,44100.00,2102794.73,11669264.63
2023-06,8.47,44100.00,943812.25,12613076.87
2023-07,-14.48,44100.00,-1871046.02,10742030.86
2023-08,39.27,44100.00,4173979.31,14916010.16
2023-09,43.07,44100.00,6379996.04,21296006.21
2023-10,7.25,44100.00,1498862.69,22794868.90
2023-11,16.09,44100.00,3624181.64,26419050.54
2023-12,-10.96,44100.00,-2938667.10,23480383.44
2024-01,45.94,44100.00,10743099.28,34223482.72
2024-02,56.33,44100.00,19232310.47,53455793.18
2024-03,29.42,44100.00,15684022.94,69139816.12
2024-04,-4.25,44100.00,-2980775.25,66159040.87
2024-05,-6.34,44100.00,-4239198.85,61919842.02
2024-06,-22.54,44100.00,-13999398.54,47920443.48
2024-07,4.30,44100.00,2017459.43,49937902.91
2024-08,31.43,44100.00,15653552.62,65591455.54
2024-09,1.31,44100.00,817763.46,66409218.99
2024-10,-2.54,44100.00,-1733470.14,64675748.85
2024-11,16.64,44100.00,10720413.64,75396162.49
2024-12,15.72,44100.00,11805915.52,87202078.01
2025-01,19.05,44100.00,16568510.00,103770588.01
2025-02,-0.78,44100.00,-855451.26,102915136.75
2025-03,-11.26,44100.00,-11635083.09,91280053.66
2025-04,11.33,44100.00,10301825.95,101581879.61
2025-05,6.14,44100.00,6198101.11,107779980.72
2025-06,4.21,44100.00,4491654.32,112271635.04
2025-07,-6.59,44100.00,-7440270.35,104831364.69
2025-08,-22.25,44100.00,-23374296.53,81457068.16
2025-09,14.61,44100.00,11860736.99,93317805.15
2025-10,32.10,44100.00,29910669.99,123228475.14
2025-11,4.59,44100.00,5615712.04,128844187.18
2025-12,-2.51,44100.00,-3278964.13,125565223.05
