Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,16.03,5250.0,34822.62,284822.62
2020-02,-39.78,5250.0,-118547.86,166274.76
2020-03,-34.99,5250.0,-63432.88,102841.88
2020-04,11.84,5250.0,6928.84,109770.72
2020-05,17.13,5250.0,13548.92,123319.64
2020-06,19.18,5250.0,18400.14,141719.78
2020-07,17.81,5250.0,19989.45,161709.24
2020-08,18.56,5250.0,24755.61,186464.84
2020-09,18.71,5250.0,29638.83,216103.67
2020-10,14.71,5250.0,26542.61,242646.29
2020-11,17.94,5250.0,38270.02,280916.31
2020-12,12.35,5250.0,29453.54,310369.85
2021-01,22.1,5250.0,58664.31,347904.71
2021-02,8.43,5250.0,24076.66,371981.38
2021-03,15.72,5250.0,53212.86,425194.23
2021-04,9.54,5250.0,35298.8,460493.03
2021-05,23.23,5250.0,101705.02,562198.05
2021-06,22.23,5250.0,119750.23,681948.28
2021-07,14.47,5250.0,93457.88,775406.15
2021-08,23.71,5250.0,178626.62,954032.77
2021-09,23.02,5250.0,214332.51,1168365.28
2021-10,16.46,5250.0,187027.15,1355392.43
2021-11,16.7,5250.0,221118.26,1576510.69
2021-12,21.98,5250.0,341237.29,1917747.98
2022-01,-4.01,5250.0,-59297.46,1288472.87
2022-02,-15.55,5250.0,-205643.2,1082829.67
2022-03,-2.15,5250.0,-28511.69,1054317.99
2022-04,-7.91,5250.0,-88627.51,965690.47
2022-05,-13.13,5250.0,-132081.62,833608.85
2022-06,-13.21,5250.0,-115362.14,718246.71
2022-07,-7.38,5250.0,-58257.48,659989.23
2022-08,-16.51,5250.0,-114183.3,545805.92
2022-09,-10.94,5250.0,-64951.17,480854.76
2022-10,-7.55,5250.0,-41566.33,439288.43
2022-11,-9.85,5250.0,-48529.61,390758.82
2022-12,-6.13,5250.0,-29190.2,361568.62
2023-01,9.13,5250.0,27743.75,389312.36
2023-02,14.64,5250.0,51754.78,441067.15
2023-03,15.24,5250.0,61983.14,503050.29
2023-04,14.28,5250.0,66600.83,569651.11
2023-05,3.78,5250.0,16289.7,585940.81
2023-06,20.73,5250.0,116210.64,702151.45
2023-07,16.69,5250.0,111961.14,814112.59
2023-08,15.76,5250.0,123017.62,937130.21
2023-09,12.81,5250.0,114755.75,1051885.97
2023-10,9.31,5250.0,92643.77,1144529.73
2023-11,8.63,5250.0,93507.2,1238036.94
2023-12,14.55,5250.0,174930.76,1412967.69
2024-01,5.99,5250.0,57300.03,1102278.05
2024-02,13.4,5250.0,142465.2,1244743.24
2024-03,14.39,5250.0,173846.13,1418589.38
2024-04,9.37,5250.0,127645.45,1546234.83
2024-05,9.03,5250.0,134333.19,1680568.02
2024-06,2.81,5250.0,41938.15,1722506.17
2024-07,12.11,5250.0,203289.59,1925795.75
2024-08,10.31,5250.0,193355.31,2119151.07
2024-09,17.14,5250.0,357970.85,2477121.91
2024-10,14.38,5250.0,351005.32,2828127.23
2024-11,6.99,5250.0,192323.06,3020450.29
2024-12,5.45,5250.0,159480.37,3179930.66
2025-01,15.08,5250.0,361550.63,2794247.86
2025-02,13.57,5250.0,373905.61,3168153.47
2025-03,2.59,5250.0,76910.48,3245063.95
2025-04,15.86,5250.0,509400.03,3754463.99
2025-05,11.49,5250.0,426009.64,4180473.62
2025-06,10.24,5250.0,422656.27,4603129.89
2025-07,3.25,5250.0,144154.96,4747284.85
2025-08,12.28,5250.0,577595.73,5324880.59
2025-09,10.37,5250.0,547162.94,5872043.53
2025-10,9.24,5250.0,537204.25,6409247.78
2025-11,17.49,5250.0,1115659.68,7524907.46
2025-12,15.07,5250.0,1129030.4,8653937.86
