Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,23.35,63000.0,754107.2,4254107.2
2020-02,-55.27,63000.0,-2414072.64,1840034.56
2020-03,-58.13,63000.0,-1132613.69,707420.87
2020-04,23.81,63000.0,105448.07,812868.94
2020-05,18.97,63000.0,91181.01,904049.95
2020-06,30.16,63000.0,209639.09,1113689.04
2020-07,27.65,63000.0,244881.65,1358570.69
2020-08,25.09,63000.0,277917.77,1636488.46
2020-09,38.02,63000.0,559167.83,2195656.3
2020-10,19.24,63000.0,359511.6,2555167.89
2020-11,20.03,63000.0,448778.99,3003946.88
2020-12,17.16,63000.0,452464.76,3456411.64
2021-01,34.18,63000.0,1118425.34,4574836.99
2021-02,24.78,63000.0,1070561.5,5645398.48
2021-03,27.44,63000.0,1486052.94,7131451.43
2021-04,26.94,63000.0,1858327.97,8989779.4
2021-05,30.7,63000.0,2697015.51,11686794.9
2021-06,24.75,63000.0,2829163.32,14515958.22
2021-07,23.27,63000.0,3315374.89,17831333.11
2021-08,24.7,63000.0,4341365.72,22172698.83
2021-09,18.58,63000.0,4056624.79,26229323.62
2021-10,31.52,63000.0,8204513.95,34433837.57
2021-11,25.21,63000.0,8618854.68,43052692.25
2021-12,24.81,63000.0,10619930.06,53672622.31
2022-01,-18.11,63000.0,-6601783.94,29495164.63
2022-02,-14.47,63000.0,-4329538.1,25165626.53
2022-03,-12.77,63000.0,-3276419.44,21889207.09
2022-04,-11.4,63000.0,-2558648.95,19330558.14
2022-05,-7.24,63000.0,-1461668.04,17868890.1
2022-06,-17.0,63000.0,-3101275.86,14767614.24
2022-07,-25.57,63000.0,-3839250.54,10928363.7
2022-08,-19.03,63000.0,-2142844.99,8785518.72
2022-09,-20.15,63000.0,-1833300.73,6952217.99
2022-10,-13.56,63000.0,-1005463.07,5946754.92
2022-11,-23.89,63000.0,-1483447.8,4463307.12
2022-12,-24.93,63000.0,-1175539.53,3287767.59
2023-01,24.63,63000.0,746896.36,4034663.95
2023-02,14.34,63000.0,515644.46,4550308.41
2023-03,13.0,63000.0,528379.88,5078688.29
2023-04,29.11,63000.0,1415487.87,6494176.17
2023-05,16.81,63000.0,1028472.55,7522648.72
2023-06,10.88,63000.0,755175.42,8277824.14
2023-07,14.83,63000.0,1164389.0,9442213.14
2023-08,15.81,63000.0,1429958.05,10872171.19
2023-09,23.55,63000.0,2497595.53,13369766.72
2023-10,28.39,63000.0,3732327.65,17102094.37
2023-11,17.71,63000.0,2966411.42,20068505.79
2023-12,23.83,63000.0,4718951.92,24787457.71
2024-01,21.66,63000.0,3676692.96,20939259.13
2024-02,21.67,63000.0,4474952.44,25414211.57
2024-03,5.24,63000.0,1267848.16,26682059.73
2024-04,17.19,63000.0,4524253.51,31206313.24
2024-05,14.66,63000.0,4510412.39,35716725.63
2024-06,15.38,63000.0,5431134.76,41147860.39
2024-07,13.69,63000.0,5569538.19,46717398.58
2024-08,25.51,63000.0,11856625.08,58574023.66
2024-09,6.66,63000.0,3837483.57,62411507.23
2024-10,11.75,63000.0,7269180.64,69680687.87
2024-11,5.02,63000.0,3437528.17,73118216.04
2024-12,19.16,63000.0,13948889.91,87067105.95
2025-01,17.42,63000.0,10850779.36,73486296.38
2025-02,15.24,63000.0,11138190.81,84624487.19
2025-03,11.97,63000.0,10066684.3,94691171.5
2025-04,9.7,63000.0,9125415.37,103816586.86
2025-05,15.24,63000.0,15756824.81,119573411.67
2025-06,15.71,63000.0,18725684.3,138299095.97
2025-07,10.92,63000.0,15035894.24,153334990.21
2025-08,16.13,63000.0,24670733.39,178005723.6
2025-09,13.68,63000.0,24291336.76,202297060.36
2025-10,15.66,63000.0,31623309.61,233920369.97
2025-11,21.97,63000.0,51317724.97,285238094.94
2025-12,22.76,63000.0,64843921.13,350082016.07
