Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,-3.34,1675.00,-3915.45,63084.55
2020-02,-5.57,1675.00,-5187.70,57896.85
2020-03,12.80,1675.00,5733.88,63630.72
2020-04,23.39,1675.00,13205.51,76836.24
2020-05,9.72,1675.00,5791.35,82627.58
2020-06,3.41,1675.00,1145.94,83773.53
2020-07,5.19,1675.00,2673.97,86447.50
2020-08,9.57,1675.00,6599.54,93047.04
2020-09,10.68,1675.00,8262.71,101309.75
2020-10,11.80,1675.00,10283.77,111593.51
2020-11,7.26,1675.00,6428.19,118021.70
2020-12,3.72,1675.00,2721.30,120743.00
2021-01,4.64,1675.00,3932.10,124675.10
2021-02,13.09,1675.00,14638.89,139314.00
2021-03,13.64,1675.00,17326.55,156640.55
2021-04,10.77,1675.00,15189.61,171830.16
2021-05,2.22,1675.00,2144.18,173974.34
2021-06,3.79,1675.00,4922.92,178897.26
2021-07,10.08,1675.00,16354.07,195251.33
2021-08,14.95,1675.00,27524.60,222775.93
2021-09,11.52,1675.00,23986.08,246762.01
2021-10,6.22,1675.00,13663.87,260425.88
2021-11,4.77,1675.00,10735.92,271161.80
2021-12,4.75,1675.00,11212.29,282374.09
2022-01,-1.04,1675.00,-4615.98,277758.11
2022-02,-0.25,1675.00,-2364.86,275393.24
2022-03,-1.73,1675.00,-6446.71,268946.54
2022-04,-0.86,1675.00,-3975.11,264971.43
2022-05,-4.28,1675.00,-13011.52,251959.90
2022-06,-4.60,1675.00,-13271.18,238688.72
2022-07,-1.35,1675.00,-4909.08,233779.63
2022-08,6.29,1675.00,13040.26,246819.89
2022-09,4.36,1675.00,9092.38,255912.27
2022-10,5.21,1675.00,11666.51,267578.78
2022-11,6.50,1675.00,15720.90,283299.68
2022-12,4.16,1675.00,10114.33,293414.00
2023-01,5.79,1675.00,15323.58,308737.58
2023-02,13.79,1675.00,40887.68,349625.26
2023-03,9.64,1675.00,32015.65,381640.91
2023-04,3.10,1675.00,10163.56,391804.47
2023-05,4.56,1675.00,16189.17,407993.65
2023-06,15.69,1675.00,62327.11,470320.76
2023-07,14.17,1675.00,64949.17,535269.93
2023-08,7.16,1675.00,36645.73,571915.67
2023-09,4.61,1675.00,24701.75,596617.41
2023-10,10.94,1675.00,63609.78,660227.19
2023-11,8.99,1675.00,57708.05,717935.24
2023-12,4.78,1675.00,32676.18,750611.42
2024-01,4.68,1675.00,33419.66,784031.08
2024-02,11.17,1675.00,85875.11,869906.19
2024-03,7.87,1675.00,66774.96,936681.15
2024-04,3.66,1675.00,32613.14,969294.28
2024-05,4.79,1675.00,44729.79,1014024.08
2024-06,12.96,1675.00,129775.42,1143799.50
2024-07,10.15,1675.00,114430.69,1258230.18
2024-08,4.23,1675.00,51524.44,1309754.62
2024-09,1.54,1675.00,18519.09,1328273.71
2024-10,6.77,1675.00,88207.69,1416481.40
2024-11,5.85,1675.00,81121.33,1497602.73
2024-12,2.97,1675.00,42775.23,1540377.96
2025-01,0.29,1675.00,2742.85,1543120.80
2025-02,3.57,1675.00,53482.42,1596603.22
2025-03,3.17,1675.00,48914.81,1645518.03
2025-04,3.71,1675.00,59394.71,1704912.74
2025-05,2.59,1675.00,42563.46,1747476.20
2025-06,4.12,1675.00,70398.59,1817874.80
2025-07,1.30,1675.00,22041.24,1839916.03
2025-08,0.56,1675.00,8720.09,1848636.13
2025-09,0.77,1675.00,12499.62,1861135.75
2025-10,4.19,1675.00,76253.19,1937388.94
2025-11,0.99,1675.00,17458.74,1954847.68
2025-12,0.86,1675.00,15152.32,1970000.00
