Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,0.16,21065.58,-19200.64,1151109.36
2020-02,-15.05,21065.58,-194359.78,956749.59
2020-03,-7.29,21065.58,-90828.77,865920.82
2020-04,7.32,21065.58,42322.17,908242.98
2020-05,17.54,21065.58,138261.39,1046504.37
2020-06,3.67,21065.58,17350.04,1063854.41
2020-07,8.05,21065.58,64570.12,1128424.53
2020-08,17.68,21065.58,178479.58,1306904.11
2020-09,20.91,21065.58,252189.52,1559093.63
2020-10,11.94,21065.58,165138.35,1724231.97
2020-11,11.44,21065.58,176188.23,1900420.20
2020-12,10.30,21065.58,174751.96,2075172.16
2021-01,5.74,21065.58,98147.93,2173320.10
2021-02,22.59,21065.58,469983.18,2643303.28
2021-03,15.40,21065.58,385895.59,3029198.87
2021-04,4.50,21065.58,115298.82,3144497.70
2021-05,4.52,21065.58,121189.64,3265687.34
2021-06,15.63,21065.58,489450.51,3755137.85
2021-07,21.20,21065.58,775023.73,4530161.58
2021-08,8.39,21065.58,358789.72,4888951.30
2021-09,9.07,21065.58,422562.52,5311513.83
2021-10,8.92,21065.58,452970.50,5764484.33
2021-11,10.87,21065.58,605605.50,6370089.83
2021-12,4.37,21065.58,257549.77,6627639.60
2022-01,2.48,21065.58,143161.80,6770801.40
2022-02,3.76,21065.58,233633.35,7004434.75
2022-03,-3.00,21065.58,-231410.06,6773024.68
2022-04,-3.59,21065.58,-264063.83,6508960.86
2022-05,-8.57,21065.58,-578668.60,5930292.26
2022-06,0.39,21065.58,2190.81,5932483.07
2022-07,-4.11,21065.58,-264626.16,5667856.91
2022-08,-11.25,21065.58,-658722.62,5009134.29
2022-09,-5.57,21065.58,-300190.55,4708943.74
2022-10,5.01,21065.58,214793.37,4923737.11
2022-11,11.86,21065.58,562804.22,5486541.34
2022-12,-0.33,21065.58,-39415.43,5447125.90
2023-01,4.17,21065.58,205948.62,5653074.52
2023-02,11.85,21065.58,648885.97,6301960.49
2023-03,17.41,21065.58,1075919.27,7377879.76
2023-04,9.57,21065.58,684825.42,8062705.18
2023-05,7.48,21065.58,582153.44,8644858.62
2023-06,15.93,21065.58,1355858.74,10000717.36
2023-07,10.97,21065.58,1076263.19,11076980.55
2023-08,8.64,21065.58,935564.17,12012544.73
2023-09,3.58,21065.58,409022.60,12421567.32
2023-10,8.52,21065.58,1036896.26,13458463.58
2023-11,3.92,21065.58,507056.03,13965519.61
2023-12,0.76,21065.58,85097.47,14050617.08
2024-01,7.99,21065.58,1101786.36,15152403.44
2024-02,12.32,21065.58,1845814.77,16998218.21
2024-03,13.18,21065.58,2219401.00,19217619.21
2024-04,1.42,21065.58,252518.95,19470138.16
2024-05,5.78,21065.58,1104026.16,20574164.32
2024-06,9.61,21065.58,1955133.26,22529297.58
2024-07,8.77,21065.58,1954960.23,24484257.80
2024-08,0.95,21065.58,211373.75,24695631.56
2024-09,-4.02,21065.58,-1013792.58,23681838.98
2024-10,4.04,21065.58,935378.00,24617216.97
2024-11,4.12,21065.58,993713.68,25610930.65
2024-12,6.93,21065.58,1753307.03,27364237.68
2025-01,0.77,21065.58,189953.75,27554191.42
2025-02,2.74,21065.58,734977.42,28289168.84
2025-03,4.12,21065.58,1144632.05,29433800.89
2025-04,4.40,21065.58,1273144.12,30706945.02
2025-05,4.20,21065.58,1268653.18,31975598.19
2025-06,-3.54,21065.58,-1151636.79,30823961.40
2025-07,-2.08,21065.58,-663121.20,30160840.20
2025-08,-3.82,21065.58,-1174562.93,28986277.27
2025-09,2.91,21065.58,823095.66,29809372.93
2025-10,2.60,21065.58,753849.66,30563222.59
2025-11,0.54,21065.58,143772.86,30706995.45
2025-12,3.61,21065.58,1087482.55,31794478.00
