Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,24.58,15330.0,164136.24,894136.24
2020-02,-48.82,15330.0,-451835.78,442300.46
2020-03,-48.55,15330.0,-230045.41,212255.05
2020-04,3.92,15330.0,-7017.37,205237.68
2020-05,8.73,15330.0,2594.7,207832.38
2020-06,16.81,15330.0,19609.81,227442.19
2020-07,24.65,15330.0,40740.39,268182.58
2020-08,26.46,15330.0,55626.55,323809.13
2020-09,16.05,15330.0,36655.38,360464.51
2020-10,25.48,15330.0,76511.25,436975.76
2020-11,18.98,15330.0,67598.74,504574.49
2020-12,14.05,15330.0,55554.05,560128.54
2021-01,22.37,15330.0,109993.43,670121.97
2021-02,14.0,15330.0,78462.05,748584.02
2021-03,16.0,15330.0,104427.47,853011.48
2021-04,29.11,15330.0,232942.25,1085953.73
2021-05,29.21,15330.0,301833.83,1387787.56
2021-06,18.32,15330.0,238881.59,1626669.15
2021-07,28.35,15330.0,445808.12,2072477.27
2021-08,20.55,15330.0,410511.66,2482988.93
2021-09,22.18,15330.0,535341.11,3018330.04
2021-10,22.9,15330.0,675806.53,3694136.58
2021-11,21.1,15330.0,764093.71,4458230.29
2021-12,16.26,15330.0,709573.21,5167803.5
2022-01,-21.47,15330.0,-778741.54,2776375.73
2022-02,-18.34,15330.0,-524560.26,2251815.46
2022-03,-15.21,15330.0,-357818.97,1893996.5
2022-04,-8.45,15330.0,-175418.15,1718578.35
2022-05,-12.75,15330.0,-234509.73,1484068.62
2022-06,-7.32,15330.0,-124025.35,1360043.26
2022-07,-18.08,15330.0,-261208.72,1098834.55
2022-08,-21.0,15330.0,-246096.36,852738.19
2022-09,-13.1,15330.0,-127078.76,725659.42
2022-10,-13.37,15330.0,-112341.23,613318.2
2022-11,-20.71,15330.0,-142374.61,470943.59
2022-12,-2.33,15330.0,-26291.82,444651.77
2023-01,13.4,15330.0,44257.91,488909.68
2023-02,14.45,15330.0,55294.83,544204.51
2023-03,18.02,15330.0,82723.14,626927.65
2023-04,21.46,15330.0,119203.08,746130.73
2023-05,13.74,15330.0,87177.36,833308.09
2023-06,18.13,15330.0,135759.4,969067.49
2023-07,19.08,15330.0,169610.1,1138677.58
2023-08,17.36,15330.0,182290.03,1320967.61
2023-09,20.42,15330.0,254453.83,1575421.44
2023-10,3.88,15330.0,45786.28,1621207.72
2023-11,8.5,15330.0,122451.33,1743659.05
2023-12,14.19,15330.0,232089.43,1975748.47
2024-01,18.48,15330.0,250797.38,1690662.0
2024-02,11.24,15330.0,174719.14,1865381.14
2024-03,19.58,15330.0,349963.62,2215344.76
2024-04,7.78,15330.0,156952.14,2372296.91
2024-05,19.55,15330.0,448376.46,2820673.37
2024-06,2.75,15330.0,62231.06,2882904.43
2024-07,11.69,15330.0,321729.27,3204633.7
2024-08,4.69,15330.0,134935.86,3339569.56
2024-09,11.89,15330.0,381845.72,3721415.28
2024-10,5.17,15330.0,177105.58,3898520.86
2024-11,15.85,15330.0,602772.3,4501293.16
2024-12,14.06,15330.0,617546.97,5118840.12
2025-01,12.1,15330.0,448176.69,4279375.39
2025-02,18.7,15330.0,784820.76,5064196.16
2025-03,15.53,15330.0,770909.21,5835105.37
2025-04,17.08,15330.0,981530.14,6816635.52
2025-05,11.44,15330.0,764201.49,7580837.01
2025-06,12.87,15330.0,960459.2,8541296.21
2025-07,10.42,15330.0,874482.88,9415779.09
2025-08,17.1,15330.0,1594669.36,11010448.45
2025-09,3.67,15330.0,388468.68,11398917.13
2025-10,15.27,15330.0,1725152.46,13124069.6
2025-11,16.02,15330.0,2087110.75,15211180.35
2025-12,14.31,15330.0,2161201.35,17372381.7
