Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,18.88,6720.0,53708.54,373708.54
2020-02,-29.08,6720.0,-115398.96,258309.59
2020-03,-35.63,6720.0,-98753.83,159555.75
2020-04,10.88,6720.0,10639.92,170195.68
2020-05,-0.51,6720.0,-7586.26,162609.42
2020-06,17.33,6720.0,21456.78,184066.19
2020-07,25.05,6720.0,39394.35,223460.54
2020-08,17.37,6720.0,32098.01,255558.56
2020-09,12.18,6720.0,24406.11,279964.66
2020-10,15.32,6720.0,36158.01,316122.67
2020-11,17.97,6720.0,50086.83,366209.5
2020-12,16.55,6720.0,53879.39,420088.9
2021-01,24.92,6720.0,89253.35,474311.13
2021-02,7.33,6720.0,28062.51,502373.64
2021-03,19.11,6720.0,89294.54,591668.18
2021-04,24.83,6720.0,140170.25,731838.44
2021-05,13.03,6720.0,88621.97,820460.41
2021-06,23.93,6720.0,189636.39,1010096.8
2021-07,9.66,6720.0,90899.53,1100996.33
2021-08,17.73,6720.0,188467.64,1289463.97
2021-09,12.34,6720.0,152352.38,1441816.35
2021-10,15.21,6720.0,212567.75,1654384.1
2021-11,24.79,6720.0,403446.43,2057830.53
2021-12,16.26,6720.0,327823.28,2385653.81
2022-01,-0.22,6720.0,-10374.62,1675070.58
2022-02,-9.05,6720.0,-158387.12,1516683.46
2022-03,-9.26,6720.0,-147095.9,1369587.57
2022-04,-14.91,6720.0,-210892.21,1158695.35
2022-05,-16.87,6720.0,-202237.44,956457.91
2022-06,-12.34,6720.0,-124724.88,831733.03
2022-07,-12.36,6720.0,-109509.47,722223.55
2022-08,-9.91,6720.0,-78265.76,643957.79
2022-09,-20.26,6720.0,-137194.86,506762.93
2022-10,-4.32,6720.0,-28635.6,478127.33
2022-11,-11.73,6720.0,-62791.48,415335.85
2022-12,-12.79,6720.0,-59834.16,355501.69
2023-01,16.77,6720.0,52902.53,408404.22
2023-02,20.73,6720.0,77925.52,486329.74
2023-03,4.02,6720.0,12850.23,499179.97
2023-04,14.91,6720.0,67732.14,566912.12
2023-05,18.6,6720.0,98753.21,665665.32
2023-06,13.14,6720.0,80764.55,746429.87
2023-07,17.74,6720.0,125705.16,872135.03
2023-08,15.42,6720.0,127737.8,999872.83
2023-09,9.65,6720.0,89782.51,1089655.34
2023-10,6.53,6720.0,64451.89,1154107.23
2023-11,12.67,6720.0,139511.41,1293618.64
2023-12,17.86,6720.0,224350.77,1517969.41
2024-01,14.51,6720.0,154495.45,1265601.16
2024-02,3.67,6720.0,39688.11,1305289.26
2024-03,15.3,6720.0,193004.68,1498293.95
2024-04,10.37,6720.0,148612.44,1646906.39
2024-05,1.08,6720.0,10991.33,1657897.72
2024-06,9.46,6720.0,150074.92,1807972.64
2024-07,8.28,6720.0,142896.19,1950868.83
2024-08,11.67,6720.0,220937.56,2171806.39
2024-09,18.64,6720.0,398092.8,2569899.19
2024-10,9.2,6720.0,229682.99,2799582.19
2024-11,15.86,6720.0,437291.94,3236874.12
2024-12,15.7,6720.0,501331.8,3738205.92
2025-01,7.33,6720.0,199766.86,3018487.71
2025-02,11.73,6720.0,347296.56,3365784.27
2025-03,7.18,6720.0,234826.78,3600611.04
2025-04,5.99,6720.0,209058.44,3809669.48
2025-05,20.49,6720.0,773887.41,4583556.9
2025-06,18.4,6720.0,836667.35,5420224.25
2025-07,1.61,6720.0,80556.7,5500780.95
2025-08,12.16,6720.0,661960.74,6162741.69
2025-09,8.69,6720.0,528566.85,6691308.54
2025-10,13.55,6720.0,899988.38,7591296.92
2025-11,-1.79,6720.0,-142611.24,7448685.68
2025-12,16.56,6720.0,1226446.63,8675132.31
