Date,Monthly Gross Return (%),Running Costs ($),Net Profit ($),Portfolio Value ($)
2020-01,3.07,3750.00,848.10,150848.10
2020-02,-3.22,3750.00,-8604.41,142243.69
2020-03,-4.55,3750.00,-10221.17,132022.52
2020-04,8.19,3750.00,7062.44,139084.96
2020-05,13.85,3750.00,15513.91,154598.86
2020-06,16.41,3750.00,21619.55,176218.42
2020-07,4.87,3750.00,4831.81,181050.23
2020-08,7.36,3750.00,9568.76,190618.99
2020-09,12.89,3750.00,20825.53,211444.52
2020-10,18.44,3750.00,35235.59,246680.11
2020-11,13.61,3750.00,29827.36,276507.47
2020-12,6.95,3750.00,15453.58,291961.05
2021-01,6.66,3750.00,15684.96,307646.01
2021-02,13.02,3750.00,36292.60,343938.61
2021-03,12.01,3750.00,37559.29,381497.90
2021-04,4.80,3750.00,14547.94,396045.85
2021-05,8.49,3750.00,29884.21,425930.06
2021-06,13.81,3750.00,55072.26,481002.32
2021-07,13.19,3750.00,59673.20,540675.52
2021-08,3.38,3750.00,14501.18,555176.70
2021-09,7.95,3750.00,40402.62,595579.32
2021-10,11.71,3750.00,66013.79,661593.10
2021-11,13.26,3750.00,83963.63,745556.74
2021-12,2.21,3750.00,12732.20,758288.94
2022-01,3.33,3750.00,21518.54,779807.47
2022-02,3.04,3750.00,19977.93,799785.40
2022-03,4.51,3750.00,32292.31,832077.71
2022-04,-5.66,3750.00,-50828.73,781248.98
2022-05,-9.82,3750.00,-80497.94,700751.04
2022-06,-8.36,3750.00,-62315.73,638435.31
2022-07,-3.74,3750.00,-27614.12,610821.19
2022-08,-6.94,3750.00,-46151.31,564669.87
2022-09,-0.43,3750.00,-6169.41,558500.47
2022-10,4.19,3750.00,19676.69,578177.16
2022-11,3.75,3750.00,17947.43,596124.59
2022-12,1.44,3750.00,4809.70,600934.29
2023-01,2.50,3750.00,11295.99,612230.27
2023-02,8.43,3750.00,47872.26,660102.54
2023-03,5.98,3750.00,35701.68,695804.21
2023-04,2.61,3750.00,14382.23,710186.44
2023-05,-0.65,3750.00,-8371.55,701814.89
2023-06,6.62,3750.00,42706.35,744521.23
2023-07,5.57,3750.00,37685.90,782207.13
2023-08,7.00,3750.00,51021.22,833228.35
2023-09,3.05,3750.00,21643.43,854871.78
2023-10,7.69,3750.00,62015.60,916887.38
2023-11,3.24,3750.00,25947.83,942835.20
2023-12,4.13,3750.00,35144.50,977979.71
2024-01,2.71,3750.00,22792.79,1000772.50
2024-02,7.15,3750.00,67802.19,1068574.69
2024-03,0.39,3750.00,457.19,1069031.88
2024-04,-2.34,3750.00,-28732.21,1040299.67
2024-05,-4.28,3750.00,-48320.94,991978.73
2024-06,-0.36,3750.00,-7281.88,984696.85
2024-07,3.55,3750.00,31197.79,1015894.64
2024-08,6.36,3750.00,60864.41,1076759.05
2024-09,5.21,3750.00,52396.49,1129155.55
2024-10,1.33,3750.00,11295.66,1140451.20
2024-11,6.30,3750.00,68136.15,1208587.36
2024-12,5.64,3750.00,64452.80,1273040.16
2025-01,4.57,3750.00,54408.05,1327448.21
2025-02,2.12,3750.00,24348.52,1351796.73
2025-03,2.54,3750.00,30543.38,1382340.10
2025-04,-2.52,3750.00,-38520.60,1343819.50
2025-05,0.52,3750.00,3202.44,1347021.94
2025-06,-1.61,3750.00,-25447.76,1321574.17
2025-07,1.63,3750.00,17831.60,1339405.77
2025-08,-1.96,3750.00,-29979.23,1309426.54
2025-09,3.79,3750.00,45910.74,1355337.28
2025-10,4.56,3750.00,58062.91,1413400.18
2025-11,6.43,3750.00,87071.38,1500471.56
2025-12,0.65,3750.00,6013.44,1506485.00
