Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2025-01-01,136426780693.16,-16.62,-22668209136.55,4250.00,-22668213386.55,113758567306.61,16.62,25.1,50,27.6,New Year Rally,Below Break-Even,No
2025-02-01,113758567306.61,14.71,16731623980.69,4250.00,16731619730.69,130490187037.30,4.35,72.1,35,86.9,Policy Stability,Above Break-Even,No
2025-03-01,130490187037.30,29.11,37982621920.57,4250.00,37982617670.57,168472804707.87,0.00,75.0,21,29.3,Spring Growth,Above Break-Even,No
2025-04-01,168472804707.87,64.37,108443364463.37,4250.00,108443360213.37,276916164921.24,0.00,75.0,67,64.1,Market Confidence,Above Break-Even,No
2025-05-01,276916164921.24,100.02,276982682353.43,4250.00,276982678103.43,553898843024.67,0.00,75.0,84,58.6,Summer Success,Above Break-Even,No
2025-06-01,553898843024.67,88.15,488262688251.04,4250.00,488262684001.04,1042161527025.71,0.00,75.0,41,50.3,Mid-Year Peak,Above Break-Even,No
2025-07-01,1042161527025.71,11.90,123995921668.29,4250.00,123995917418.29,1166157444444.00,0.00,67.8,75,46.8,Innovation Drive,Above Break-Even,No
2025-08-01,1166157444444.00,74.01,863047590056.68,4250.00,863047585806.68,2029205030250.68,0.00,75.0,33,52.4,Back to Business,Above Break-Even,No
2025-09-01,2029205030250.68,11.47,232739403630.76,4250.00,232739399380.76,2261944429631.44,0.00,67.2,38,69.3,Fall Prosperity,Above Break-Even,No
2025-10-01,2261944429631.44,11.02,249241716648.03,4250.00,249241712398.03,2511186142029.47,0.00,66.5,55,86.7,Q4 Excellence,Above Break-Even,No
2025-11-01,2511186142029.47,31.68,795464508544.28,4250.00,795464504294.28,3306650646323.75,0.00,75.0,45,63.0,Holiday Triumph,Above Break-Even,No
2025-12-01,3306650646323.75,14.24,470909391679.88,4250.00,470909387429.88,3777560033753.63,0.00,71.4,76,53.6,Year-End Victory,Above Break-Even,No
