Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit,BTC_Price_USD,ETH_Price_USD
2021-01-01,173950000.00,-10.77,-18730249.47,44100.00,-18774349.47,155175650.53,10.79,33.8,56,67.9,Vaccine Rollout,Below Break-Even,No,9016.44,334.15
2021-02-01,155175650.53,53.30,82706056.56,44100.00,82661956.56,237837607.09,0.00,75.0,46,91.7,Stimulus Checks,Above Break-Even,No,13500.19,475.63
2021-03-01,237837607.09,63.38,150737065.80,44100.00,150692965.80,388530572.89,0.00,75.0,59,49.2,Reopening Acceleration,Above Break-Even,No,11235.33,260.13
2021-04-01,388530572.89,94.91,368743339.78,44100.00,368699239.78,757229812.67,0.00,75.0,48,68.5,Infrastructure Bill,Above Break-Even,No,11271.18,356.41
2021-05-01,757229812.67,81.07,613923642.16,44100.00,613879542.16,1371109354.84,0.00,75.0,83,81.5,Summer Travel,Above Break-Even,No,13995.30,255.61
2021-06-01,1371109354.84,-19.09,-261724151.12,44100.00,-261768251.12,1109341103.72,19.09,25.0,26,77.3,Supply Chain Recovery,Below Break-Even,No,17533.95,364.70
2021-07-01,1109341103.72,30.34,336626907.93,44100.00,336582807.93,1445923911.65,0.00,75.0,40,50.5,Delta Variant Impact,Above Break-Even,No,14477.95,308.03
2021-08-01,1445923911.65,15.47,223755157.38,44100.00,223711057.38,1669634969.03,0.00,73.2,64,56.3,Back to Office,Above Break-Even,No,15710.25,448.98
2021-09-01,1669634969.03,-11.23,-187510857.44,44100.00,-187554957.44,1482080011.59,11.23,33.2,47,85.0,Fall Production,Below Break-Even,No,19161.95,304.76
2021-10-01,1482080011.59,43.70,647630120.11,44100.00,647586020.11,2129666031.70,0.00,75.0,56,46.0,Holiday Inventory,Above Break-Even,No,10971.65,639.76
2021-11-01,2129666031.70,74.27,1581796822.07,44100.00,1581752722.07,3711418753.78,0.00,75.0,58,94.5,Black Friday,Above Break-Even,No,16699.78,599.98
2021-12-01,3711418753.78,19.57,726412979.87,44100.00,726368879.87,4437787633.64,0.00,75.0,45,25.9,Year-End Rally,Above Break-Even,No,14216.52,719.40
