Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2024-01-01,48620250000.00,-4.79,-2331071331.16,5250.00,-2331076581.16,46289173418.84,4.79,42.8,64,88.0,Rate Cut Expectations,Below Break-Even,No
2024-02-01,46289173418.84,16.37,7578794351.55,5250.00,7578789101.55,53867962520.39,0.00,74.6,56,35.6,Election Year Politics,Above Break-Even,No
2024-03-01,53867962520.39,-4.36,-2350783956.04,5250.00,-2350789206.04,51517173314.35,4.36,43.5,17,54.5,Spring Rally,Below Break-Even,No
2024-04-01,51517173314.35,9.55,4919576720.20,5250.00,4919571470.20,56436744784.55,0.00,64.3,39,46.3,Economic Recovery,Above Break-Even,No
2024-05-01,56436744784.55,27.64,15600126673.33,5250.00,15600121423.33,72036866207.88,0.00,75.0,28,60.1,Summer Growth,Above Break-Even,No
2024-06-01,72036866207.88,-9.65,-6950839247.74,5250.00,-6950844497.74,65086021710.13,9.65,35.5,66,61.5,Tech Innovation,Below Break-Even,No
2024-07-01,65086021710.13,16.79,10926768727.28,5250.00,10926763477.28,76012785187.42,0.00,75.0,57,70.2,Mid-Year Review,Above Break-Even,No
2024-08-01,76012785187.42,12.41,9429451225.09,5250.00,9429445975.09,85442231162.51,0.00,68.6,33,74.2,Back to School,Above Break-Even,No
2024-09-01,85442231162.51,17.46,14914272939.07,5250.00,14914267689.07,100356498851.58,0.00,75.0,84,78.1,Fall Expansion,Above Break-Even,No
2024-10-01,100356498851.58,7.78,7808919149.88,5250.00,7808913899.88,108165412751.46,0.00,61.7,62,59.7,Q4 Preparation,Above Break-Even,No
2024-11-01,108165412751.46,-10.02,-10836879537.20,5250.00,-10836884787.20,97328527964.27,10.02,35.0,43,91.9,Holiday Momentum,Below Break-Even,No
2024-12-01,97328527964.27,16.46,16017597774.05,5250.00,16017592524.05,113346120488.32,0.00,74.7,43,44.3,Year-End Strength,Above Break-Even,No
