Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2024-01-01,3232323500000.00,30.46,984599286973.54,63000.00,984599223973.54,4216922723973.54,0.00,75.0,75,56.4,Rate Cut Expectations,Above Break-Even,No
2024-02-01,4216922723973.54,1.25,52855572460.18,63000.00,52855509460.18,4269778233433.72,0.00,51.9,66,81.5,Election Year Politics,Above Break-Even,No
2024-03-01,4269778233433.72,40.54,1731065497080.32,63000.00,1731065434080.32,6000843667514.04,0.00,75.0,61,79.2,Spring Rally,Above Break-Even,No
2024-04-01,6000843667514.04,10.16,609457927115.38,63000.00,609457864115.38,6610301531629.42,0.00,65.2,30,32.5,Economic Recovery,Above Break-Even,No
2024-05-01,6610301531629.42,-13.28,-877518349925.48,63000.00,-877518412925.48,5732783118703.94,13.28,30.1,57,48.2,Summer Growth,Below Break-Even,Yes
2024-06-01,5732783118703.94,2.51,144113953516.78,63000.00,144113890516.78,5876897009220.72,11.09,53.8,73,70.5,Tech Innovation,Above Break-Even,No
2024-07-01,5876897009220.72,-2.65,-156016612602.00,63000.00,-156016675602.00,5720880333618.72,13.46,46.0,84,46.7,Mid-Year Review,Below Break-Even,Yes
2024-08-01,5720880333618.72,10.80,617954448331.00,63000.00,617954385331.00,6338834718949.72,4.11,66.2,83,55.8,Back to School,Above Break-Even,No
2024-09-01,6338834718949.72,18.14,1150130730879.18,63000.00,1150130667879.18,7488965386828.90,0.00,75.0,38,33.2,Fall Expansion,Above Break-Even,No
2024-10-01,7488965386828.90,5.53,414214191990.36,63000.00,414214128990.36,7903179515819.26,0.00,58.3,34,60.9,Q4 Preparation,Above Break-Even,No
2024-11-01,7903179515819.26,-0.28,-22309840073.03,63000.00,-22309903073.03,7880869612746.23,0.28,49.6,37,85.4,Holiday Momentum,Below Break-Even,No
2024-12-01,7880869612746.23,22.72,1790785441414.58,63000.00,1790785378414.58,9671654991160.81,0.00,75.0,70,71.1,Year-End Strength,Above Break-Even,No
