Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2021-01-01,960333.33,34.23,328743.09,1675.00,327068.09,1287401.42,0.00,75.0,17,63.1,Vaccine Rollout,Above Break-Even,No
2021-02-01,1287401.42,-11.03,-142003.84,1675.00,-143678.84,1143722.59,11.16,33.5,62,85.0,Stimulus Checks,Below Break-Even,No
2021-03-01,1143722.59,16.97,194073.07,1675.00,192398.07,1336120.66,0.00,75.0,75,33.6,Reopening Acceleration,Above Break-Even,No
2021-04-01,1336120.66,22.26,297411.43,1675.00,295736.43,1631857.09,0.00,75.0,64,44.3,Infrastructure Bill,Above Break-Even,No
2021-05-01,1631857.09,-8.64,-140963.41,1675.00,-142638.41,1489218.68,8.74,37.0,62,45.4,Summer Travel,Below Break-Even,No
2021-06-01,1489218.68,11.64,173283.80,1675.00,171608.80,1660827.48,0.00,67.5,36,66.9,Supply Chain Recovery,Above Break-Even,No
2021-07-01,1660827.48,-15.11,-250981.89,1675.00,-252656.89,1408170.59,15.21,27.3,85,28.5,Delta Variant Impact,Below Break-Even,Yes
2021-08-01,1408170.59,33.01,464839.01,1675.00,463164.01,1871334.60,0.00,75.0,69,30.2,Back to Office,Above Break-Even,No
2021-09-01,1871334.60,29.15,545514.60,1675.00,543839.60,2415174.20,0.00,75.0,46,48.5,Fall Production,Above Break-Even,No
2021-10-01,2415174.20,-5.57,-134639.79,1675.00,-136314.79,2278859.41,5.64,41.6,54,55.7,Holiday Inventory,Below Break-Even,No
2021-11-01,2278859.41,7.41,168888.20,1675.00,167213.20,2446072.61,0.00,61.1,81,57.1,Black Friday,Above Break-Even,No
2021-12-01,2446072.61,29.54,722641.30,1675.00,720966.30,3167038.91,0.00,75.0,33,67.8,Year-End Rally,Above Break-Even,No
