Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2024-01-01,13726315456.79,50.94,6992540520.22,1300.00,6992539220.22,20718854677.01,0.00,75.0,27,45.9,Rate Cut Expectations,Above Break-Even,No
2024-02-01,20718854677.01,14.49,3001794749.62,1300.00,3001793449.62,23720648126.63,0.00,71.7,58,83.6,Election Year Politics,Above Break-Even,No
2024-03-01,23720648126.63,5.41,1283182047.64,1300.00,1283180747.64,25003828874.28,0.00,58.1,69,59.0,Spring Rally,Above Break-Even,No
2024-04-01,25003828874.28,31.25,7812982867.87,1300.00,7812981567.87,32816810442.14,0.00,75.0,47,64.2,Economic Recovery,Above Break-Even,No
2024-05-01,32816810442.14,21.78,7146036606.10,1300.00,7146035306.10,39962845748.24,0.00,75.0,68,63.8,Summer Growth,Above Break-Even,No
2024-06-01,39962845748.24,16.90,6753858057.65,1300.00,6753856757.65,46716702505.89,0.00,75.0,29,73.3,Tech Innovation,Above Break-Even,No
2024-07-01,46716702505.89,4.11,1919113597.84,1300.00,1919112297.84,48635814803.73,0.00,56.2,18,77.1,Mid-Year Review,Above Break-Even,No
2024-08-01,48635814803.73,5.87,2855759300.12,1300.00,2855758000.12,51491572803.85,0.00,58.8,15,38.1,Back to School,Above Break-Even,No
2024-09-01,51491572803.85,11.36,5849856391.15,1300.00,5849855091.15,57341427895.00,0.00,67.0,70,54.0,Fall Expansion,Above Break-Even,No
2024-10-01,57341427895.00,16.96,9724994832.02,1300.00,9724993532.02,67066421427.02,0.00,75.0,76,74.8,Q4 Preparation,Above Break-Even,No
2024-11-01,67066421427.02,31.01,20799526923.95,1300.00,20799525623.95,87865947050.97,0.00,75.0,70,45.7,Holiday Momentum,Above Break-Even,No
2024-12-01,87865947050.97,19.05,16741540567.02,1300.00,16741539267.02,104607486317.99,0.00,75.0,64,55.5,Year-End Strength,Above Break-Even,No
