Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2022-01-01,331620341.94,11.76,38986373.17,21065.58,38965307.59,370585649.53,0.00,67.6,63,37.7,Inflation Spike,Above Break-Even,No
2022-02-01,370585649.53,-0.59,-2189833.58,21065.58,-2210899.16,368374750.37,0.60,49.1,24,63.9,Fed Rate Hikes,Below Break-Even,No
2022-03-01,368374750.37,6.46,23803865.95,21065.58,23782800.37,392157550.74,0.00,59.7,24,72.9,Ukraine Conflict,Above Break-Even,No
2022-04-01,392157550.74,-1.81,-7085953.82,21065.58,-7107019.40,385050531.34,1.81,47.3,76,32.4,Energy Crisis,Below Break-Even,No
2022-05-01,385050531.34,7.96,30667671.91,21065.58,30646606.33,415697137.67,0.00,61.9,71,70.0,Supply Chain Issues,Above Break-Even,No
2022-06-01,415697137.67,-7.78,-32358388.42,21065.58,-32379454.00,383317683.67,7.79,38.3,51,36.0,Summer Inflation,Below Break-Even,No
2022-07-01,383317683.67,1.54,5911242.81,21065.58,5890177.23,389207860.90,6.37,52.3,36,27.6,Recession Fears,Above Break-Even,No
2022-08-01,389207860.90,6.69,26022410.73,21065.58,26001345.15,415209206.05,0.12,60.0,35,77.2,Energy Prices Peak,Above Break-Even,No
2022-09-01,415209206.05,1.56,6465413.94,21065.58,6444348.36,421653554.41,0.00,52.3,79,90.8,Central Bank Action,Above Break-Even,No
2022-10-01,421653554.41,2.19,9239014.72,21065.58,9217949.14,430871503.56,0.00,53.3,80,88.0,Market Volatility,Above Break-Even,No
2022-11-01,430871503.56,-4.35,-18761542.70,21065.58,-18782608.28,412088895.28,4.36,43.5,47,80.5,Holiday Spending,Below Break-Even,No
2022-12-01,412088895.28,-9.01,-37130746.65,21065.58,-37151812.23,374937083.04,12.98,36.5,83,58.8,Year-End Adjustment,Below Break-Even,Yes
