Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2023-01-01,12830480000.00,2.49,319324653.76,15330.00,319309323.76,13149789323.76,0.00,53.7,34,27.9,Banking Crisis,Above Break-Even,No
2023-02-01,13149789323.76,17.54,2307050724.64,15330.00,2307035394.64,15456824718.40,0.00,75.0,15,40.5,Rate Pause,Above Break-Even,No
2023-03-01,15456824718.40,16.37,2530534268.54,15330.00,2530518938.54,17987343656.94,0.00,74.6,56,46.9,SVB Collapse,Above Break-Even,No
2023-04-01,17987343656.94,24.32,4375005102.92,15330.00,4374989772.92,22362333429.86,0.00,75.0,56,94.1,Regional Banking Stress,Above Break-Even,No
2023-05-01,22362333429.86,11.34,2536448732.27,15330.00,2536433402.27,24898766832.13,0.00,67.0,32,28.3,Debt Ceiling Crisis,Above Break-Even,No
2023-06-01,24898766832.13,-10.07,-2506932758.42,15330.00,-2506948088.42,22391818743.71,10.07,34.9,50,27.1,AI Boom,Below Break-Even,No
2023-07-01,22391818743.71,8.33,1864796884.92,15330.00,1864781554.92,24256600298.62,2.58,62.5,45,59.5,Summer Recovery,Above Break-Even,No
2023-08-01,24256600298.62,-16.56,-4017482481.37,15330.00,-4017497811.37,20239102487.25,18.71,25.2,71,70.8,Inflation Cooling,Below Break-Even,Yes
2023-09-01,20239102487.25,2.93,593334133.12,15330.00,593318803.12,20832421290.37,16.33,54.4,66,77.8,Fed Policy Shift,Above Break-Even,Yes
2023-10-01,20832421290.37,8.83,1839819824.86,15330.00,1839804494.86,22672225785.23,8.94,63.2,55,37.7,Q3 Earnings,Above Break-Even,No
2023-11-01,22672225785.23,9.80,2222902307.19,15330.00,2222886977.19,24895112762.42,0.01,64.7,19,94.4,Holiday Season,Above Break-Even,No
2023-12-01,24895112762.42,18.63,4638185672.11,15330.00,4638170342.11,29533283104.53,0.00,75.0,62,92.9,Year-End Optimism,Above Break-Even,No
