Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2025-01-01,864338130699.59,21.57,186473198938.42,6720.00,186473192218.42,1050811322918.01,0.00,75.0,74,61.3,New Year Rally,Above Break-Even,No
2025-02-01,1050811322918.01,14.11,148320689011.30,6720.00,148320682291.30,1199132005209.30,0.00,71.2,55,85.6,Policy Stability,Above Break-Even,No
2025-03-01,1199132005209.30,-12.31,-147601813812.60,6720.00,-147601820532.60,1051530184676.70,12.31,31.5,22,59.1,Spring Growth,Below Break-Even,No
2025-04-01,1051530184676.70,-0.04,-426650524.80,6720.00,-426657244.80,1051103527431.90,12.34,49.9,35,73.0,Market Confidence,Below Break-Even,No
2025-05-01,1051103527431.90,29.23,307236722978.91,6720.00,307236716258.91,1358340243690.82,0.00,75.0,42,29.3,Summer Success,Above Break-Even,No
2025-06-01,1358340243690.82,-16.94,-230136751882.99,6720.00,-230136758602.99,1128203485087.82,16.94,25.0,19,52.9,Mid-Year Peak,Below Break-Even,Yes
2025-07-01,1128203485087.82,18.58,209660345076.64,6720.00,209660338356.64,1337863823444.47,1.51,75.0,57,42.0,Innovation Drive,Above Break-Even,No
2025-08-01,1337863823444.47,24.47,327382919885.58,6720.00,327382913165.58,1665246736610.05,0.00,75.0,66,90.4,Back to Business,Above Break-Even,No
2025-09-01,1665246736610.05,-13.76,-229058141652.23,6720.00,-229058148372.23,1436188588237.82,13.76,29.4,67,67.4,Fall Prosperity,Below Break-Even,Yes
2025-10-01,1436188588237.82,19.57,281072913317.02,6720.00,281072906597.02,1717261494834.84,0.00,75.0,47,68.7,Q4 Excellence,Above Break-Even,No
2025-11-01,1717261494834.84,3.85,66148750463.94,6720.00,66148743743.94,1783410238578.78,0.00,55.8,50,82.4,Holiday Triumph,Above Break-Even,No
2025-12-01,1783410238578.78,0.94,16852877664.02,6720.00,16852870944.02,1800263109522.80,0.00,51.4,74,47.4,Year-End Victory,Above Break-Even,No
