Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2023-01-01,523313194.44,6.07,31791099.90,3750.00,31787349.90,555100544.35,0.00,59.1,82,75.8,Banking Crisis,Above Break-Even,No
2023-02-01,555100544.35,8.15,45214026.98,3750.00,45210276.98,600310821.33,0.00,62.2,41,76.0,Rate Pause,Above Break-Even,No
2023-03-01,600310821.33,23.06,138412553.75,3750.00,138408803.75,738719625.08,0.00,75.0,28,81.4,SVB Collapse,Above Break-Even,No
2023-04-01,738719625.08,-15.74,-116250102.17,3750.00,-116253852.17,622465772.91,15.74,26.4,83,94.8,Regional Banking Stress,Below Break-Even,Yes
2023-05-01,622465772.91,6.43,40051683.01,3750.00,40047933.01,662513705.92,10.32,59.7,67,33.0,Debt Ceiling Crisis,Above Break-Even,Yes
2023-06-01,662513705.92,6.54,43298349.60,3750.00,43294599.60,705808305.52,4.46,59.8,25,50.6,AI Boom,Above Break-Even,No
2023-07-01,705808305.52,-5.26,-37118451.52,3750.00,-37122201.52,668686104.01,9.48,42.1,82,46.4,Summer Recovery,Below Break-Even,Yes
2023-08-01,668686104.01,5.81,38870662.88,3750.00,38866912.88,707553016.88,4.22,58.7,75,47.8,Inflation Cooling,Above Break-Even,No
2023-09-01,707553016.88,-2.74,-19397637.36,3750.00,-19401387.36,688151629.52,6.85,45.9,55,69.4,Fed Policy Shift,Below Break-Even,No
2023-10-01,688151629.52,-2.77,-19038499.65,3750.00,-19042249.65,669109379.87,9.42,45.9,16,64.8,Q3 Earnings,Below Break-Even,Yes
2023-11-01,669109379.87,3.33,22251853.90,3750.00,22248103.90,691357483.77,6.41,55.0,76,92.0,Holiday Season,Above Break-Even,No
2023-12-01,691357483.77,-2.70,-18687959.77,3750.00,-18691709.77,672665774.00,8.94,45.9,25,85.0,Year-End Optimism,Below Break-Even,Yes
