period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,234567.23,8.67,45666.83
2020-02,Low Volatility Accumulation,95.01,238892.45,9.71,54899.09
2020-03,Pandemic Claims Surge,94.03,247653.00,7.38,62575.89
2020-04,Pandemic Claims Surge,96.71,248905.50,8.24,71794.32
2020-05,Bull Momentum Surge,95.57,253239.70,7.99,82661.78
2020-06,Low Volatility Accumulation,95.69,268122.30,6.30,92882.75
2020-07,Bull Momentum Surge,94.62,259568.90,6.92,108408.95
2020-08,Bull Momentum Surge,96.92,355442.30,7.10,151338.20
2020-09,Bull Momentum Surge,96.19,370897.70,9.06,208973.01
2020-10,Bull Momentum Surge,97.32,675314.50,-10.70,187232.59
2020-11,Low Volatility Accumulation,96.69,688502.30,9.17,276282.80
2020-12,Bull Momentum Surge,95.59,966374.50,7.89,376685.66
2021-01,Low Volatility Accumulation,97.15,948823.40,6.15,515169.23
2021-02,Bull Momentum Surge,95.49,1576681.20,7.60,734054.98
2021-03,Bull Momentum Surge,95.52,1648954.50,6.18,911180.19
2021-04,Range-Bound Consolidation,94.03,2075510.80,6.49,1141431.38
2021-05,Bull Momentum Surge,95.28,2075535.70,6.24,1488623.65
2021-06,Bull Momentum Surge,96.24,2200017.30,9.76,1917999.46
2021-07,Bull Momentum Surge,95.01,2800039.80,7.16,2607944.62
2021-08,Low Volatility Accumulation,94.67,3499403.40,7.22,3596999.49
2021-09,Low Volatility Accumulation,94.36,3837711.80,9.41,4333427.79
2021-10,Low Volatility Accumulation,96.56,4038784.50,-8.15,3989837.78
2021-11,Low Volatility Accumulation,94.69,569606.70,8.17,544405.24
2021-12,Bull Momentum Surge,94.03,584375.80,6.09,7267046.64
2022-01,Bull Momentum Surge,96.05,778522.30,7.06,8613933.60
2022-02,Bull Momentum Surge,96.35,1281018.90,8.53,11667055.10
2022-03,Bull Momentum Surge,97.24,1284992.30,9.01,14584488.60
2022-04,Bull Momentum Surge,97.37,1785278.90,8.10,18532355.30
2022-05,Range-Bound Consolidation,96.90,1837533.40,-11.65,1620957.00
2022-06,Range-Bound Consolidation,94.83,1790212.30,4.50,2048588.10
2022-07,Range-Bound Consolidation,94.63,1809376.20,6.61,2373917.80
2022-08,Bull Momentum Surge,95.92,1823328.90,7.27,2798867.60
2022-09,Low Volatility Accumulation,95.92,1830406.70,4.71,3247208.90
2022-10,Low Volatility Accumulation,97.10,3166052.30,6.48,4251130.70
2022-11,Low Volatility Accumulation,95.69,4347989.40,4.74,5222786.60
2022-12,Bull Momentum Surge,97.21,4600456.70,6.42,6994059.90
2023-01,Low Volatility Accumulation,95.63,6613603.40,-2.28,6762277.70
2023-02,Bull Momentum Surge,97.41,6464284.50,5.60,8170428.80
2023-03,Bull Momentum Surge,97.44,10203222.80,-3.05,9907575.70
2023-04,Range-Bound Consolidation,96.57,10198739.20,4.24,11346320.00
2023-05,Bull Momentum Surge,95.07,10237957.40,4.70,13261477.50
2023-06,Bull Momentum Surge,96.63,13243578.90,4.54,14651474.60
2023-07,Range-Bound Consolidation,94.58,16742203.90,4.72,16272332.60
2023-08,Bull Momentum Surge,94.06,15796625.70,6.13,18787613.10
2023-09,Bull Momentum Surge,97.33,17397338.90,2.95,19236414.10
2023-10,Bull Momentum Surge,94.26,21465906.70,4.37,22011139.90
2023-11,Low Volatility Accumulation,97.28,22188123.40,4.20,24770411.10
2023-12,Bull Momentum Surge,96.99,27803778.90,5.70,28979400.30
2024-01,Low Volatility Accumulation,94.34,30858244.50,-4.16,27676833.30
2024-02,Bull Momentum Surge,95.03,32742678.30,7.99,32271423.10
2024-03,Low Volatility Accumulation,96.32,35523754.80,8.62,36672980.60
2024-04,Range-Bound Consolidation,94.58,43737103.90,8.54,41884589.70
2024-05,Range-Bound Consolidation,95.33,36901914.50,8.42,47488141.70
2024-06,Low Volatility Accumulation,96.18,40000498.20,8.21,52530200.40
2024-07,Low Volatility Accumulation,96.83,41838398.30,7.46,58556319.80
2024-08,Low Volatility Accumulation,97.17,49250038.90,5.65,63186373.20
2024-09,Bull Momentum Surge,95.27,52309961.20,6.28,68685559.00
2024-10,Low Volatility Accumulation,96.50,63529322.40,8.75,77635463.30
2024-11,Bull Momentum Surge,96.70,60578916.70,5.32,82445081.10
2024-12,Bull Momentum Surge,94.71,68046133.40,6.44,87491599.30
2025-01,Low Volatility Accumulation,94.94,83545616.70,8.42,94671544.90
2025-02,Low Volatility Accumulation,95.09,80166222.40,-1.73,78126539.70
2025-03,Low Volatility Accumulation,94.50,87425561.50,5.67,82539817.70
2025-04,Natural Disaster Claims,95.93,101658116.90,-4.85,78501688.80
2025-05,Natural Disaster Claims,95.16,86786138.90,-4.61,74970375.30
2025-06,Natural Disaster Claims,95.99,99888394.40,-4.52,71713951.10
2025-07,Rate Increase Recovery,94.29,112405933.50,4.67,74602148.40
2025-08,Rate Increase Recovery,96.21,125981522.50,3.98,77555883.60
2025-09,Rate Increase Recovery,97.34,137466789.00,4.91,81234126.00
2025-10,Rate Increase Recovery,97.07,138164833.50,6.20,86030383.30
2025-11,Rate Increase Recovery,96.32,161755444.50,-41.07,51295388.20
2025-12,Policy Renewal Surge,96.77,156110653.40,-15.00,43301080.00
