period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,52345.67,3.45,28566.83
2020-02,Low Volatility Accumulation,95.01,53123.89,4.51,29889.09
2020-03,Supply Chain Crisis,94.03,54567.23,2.18,30575.89
2020-04,Supply Chain Crisis,96.71,55234.78,3.04,31494.32
2020-05,Bull Momentum Surge,95.57,56789.45,2.79,32361.78
2020-06,Low Volatility Accumulation,95.69,58123.34,1.10,32688.75
2020-07,Bull Momentum Surge,94.62,57456.89,1.72,33108.95
2020-08,Bull Momentum Surge,96.92,62345.67,1.90,33633.82
2020-09,Bull Momentum Surge,96.19,62987.34,3.86,34873.01
2020-10,Bull Momentum Surge,97.32,67890.12,-7.90,32032.59
2020-11,Low Volatility Accumulation,96.69,68923.45,3.97,33282.80
2020-12,Bull Momentum Surge,95.59,72345.78,2.69,34068.66
2021-01,Low Volatility Accumulation,97.15,71890.34,0.95,34369.23
2021-02,Bull Momentum Surge,95.49,84567.89,2.40,35154.98
2021-03,Bull Momentum Surge,95.52,85934.67,0.98,35318.19
2021-04,Range-Bound Consolidation,94.03,92345.67,1.29,35543.38
2021-05,Bull Momentum Surge,95.28,92378.90,1.04,35863.65
2021-06,Bull Momentum Surge,96.24,94567.23,4.56,37399.46
2021-07,Bull Momentum Surge,95.01,102345.67,1.96,38094.62
2021-08,Low Volatility Accumulation,94.67,112345.78,2.02,38799.49
2021-09,Low Volatility Accumulation,94.36,118901.23,4.21,40242.79
2021-10,Low Volatility Accumulation,96.56,123456.78,-5.35,38083.78
2021-11,Low Volatility Accumulation,94.69,134567.89,2.67,39040.24
2021-12,Bull Momentum Surge,94.03,136789.45,0.59,39270.64
2022-01,Bull Momentum Surge,96.05,145678.90,1.56,39739.36
2022-02,Bull Momentum Surge,96.35,178901.23,3.03,40867.51
2022-03,Bull Momentum Surge,97.24,179567.89,3.51,42144.86
2022-04,Bull Momentum Surge,97.37,212345.67,2.60,43023.53
2022-05,Range-Bound Consolidation,96.90,223456.78,-8.15,39595.70
2022-06,Range-Bound Consolidation,94.83,214567.89,2.00,40248.81
2022-07,Range-Bound Consolidation,94.63,217890.34,4.11,41691.87
2022-08,Bull Momentum Surge,95.92,220345.67,4.77,43488.76
2022-09,Low Volatility Accumulation,95.92,221567.89,2.21,44220.89
2022-10,Low Volatility Accumulation,97.10,245678.90,3.98,45813.07
2022-11,Low Volatility Accumulation,95.69,267890.12,2.24,46778.63
2022-12,Bull Momentum Surge,97.21,280345.67,3.92,48440.59
2023-01,Low Volatility Accumulation,95.63,345678.90,-8.58,44262.77
2023-02,Bull Momentum Surge,97.41,332345.67,3.10,45404.28
2023-03,Bull Momentum Surge,97.44,423456.78,-6.35,42475.75
2023-04,Range-Bound Consolidation,96.57,422345.67,2.94,43532.00
2023-05,Bull Momentum Surge,95.07,431234.56,3.40,44914.75
2023-06,Bull Momentum Surge,96.63,490123.45,3.24,46174.46
2023-07,Range-Bound Consolidation,94.58,562345.67,3.42,47533.26
2023-08,Bull Momentum Surge,94.06,543234.56,4.83,49676.13
2023-09,Bull Momentum Surge,97.33,575678.90,1.65,50364.14
2023-10,Bull Momentum Surge,94.26,654321.78,3.07,51711.39
2023-11,Low Volatility Accumulation,97.28,668901.23,2.90,53141.16
2023-12,Bull Momentum Surge,96.99,782345.67,4.40,55279.40
2024-01,Low Volatility Accumulation,95.63,845678.90,-0.46,55076.83
2024-02,Bull Momentum Surge,95.03,878901.23,6.79,58671.42
2024-03,Low Volatility Accumulation,96.32,894567.89,7.42,62729.80
2024-04,Range-Bound Consolidation,94.58,1056789.34,7.34,67045.89
2024-05,Range-Bound Consolidation,95.33,923456.78,7.22,71588.14
2024-06,Low Volatility Accumulation,96.18,972345.67,7.01,76130.20
2024-07,Low Volatility Accumulation,96.83,990123.45,6.26,80763.19
2024-08,Low Volatility Accumulation,97.17,1123456.78,4.45,84263.73
2024-09,Bull Momentum Surge,95.27,1156789.34,5.08,88385.59
2024-10,Low Volatility Accumulation,96.50,1389012.45,7.55,94835.46
2024-11,Bull Momentum Surge,96.70,1334567.89,4.12,98545.08
2024-12,Bull Momentum Surge,94.71,1489012.34,5.24,103515.99
2025-01,Low Volatility Accumulation,94.94,1798901.23,7.22,110771.54
2025-02,Low Volatility Accumulation,95.09,1732345.67,-0.93,109726.53
2025-03,Low Volatility Accumulation,94.50,1876543.21,4.47,114639.81
2025-04,Fuel Price Crisis,95.93,2156789.34,-4.15,109801.68
2025-05,Fuel Price Crisis,95.16,1867890.23,-3.91,105470.37
2025-06,Fuel Price Crisis,95.99,2123456.78,-3.82,101513.95
2025-07,E-Commerce Boom,94.29,2345678.90,4.97,106521.48
2025-08,E-Commerce Boom,96.21,2612345.67,4.28,110858.83
2025-09,E-Commerce Boom,97.34,2845678.90,5.21,116434.12
2025-10,E-Commerce Boom,97.07,2856789.34,6.50,123838.33
2025-11,E-Commerce Boom,96.32,3323456.78,-38.87,75795.38
2025-12,Holiday Logistics Rush,96.77,3212345.67,-11.80,66701.08
