period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,34567.89,2.89,22566.83
2020-02,Low Volatility Accumulation,95.01,35123.45,3.93,23389.09
2020-03,Retail Store Closures,94.03,36234.78,1.60,23775.89
2020-04,Retail Store Closures,96.71,36890.34,2.46,24394.32
2020-05,Bull Momentum Surge,95.57,37456.89,2.21,24861.78
2020-06,Low Volatility Accumulation,95.69,38123.67,0.52,24988.75
2020-07,Bull Momentum Surge,94.62,37689.34,2.14,25408.95
2020-08,Bull Momentum Surge,96.92,41234.78,2.32,25933.82
2020-09,Bull Momentum Surge,96.19,41890.45,4.28,26873.01
2020-10,Bull Momentum Surge,97.32,45678.90,-7.50,24832.59
2020-11,Low Volatility Accumulation,96.69,46234.78,4.39,25882.80
2020-12,Bull Momentum Surge,95.59,49890.34,3.11,26668.66
2021-01,Low Volatility Accumulation,97.15,49456.78,1.37,27069.23
2021-02,Bull Momentum Surge,95.49,56789.34,2.82,27754.98
2021-03,Bull Momentum Surge,95.52,57456.89,1.40,27918.19
2021-04,Range-Bound Consolidation,94.03,62345.67,1.71,28143.38
2021-05,Bull Momentum Surge,95.28,62378.90,1.46,28463.65
2021-06,Bull Momentum Surge,96.24,63456.78,4.98,29799.46
2021-07,Bull Momentum Surge,95.01,69890.34,2.38,30494.62
2021-08,Low Volatility Accumulation,94.67,74901.23,2.44,31199.49
2021-09,Low Volatility Accumulation,94.36,78901.56,4.63,32442.79
2021-10,Low Volatility Accumulation,96.56,81234.78,-4.93,30783.78
2021-11,Low Volatility Accumulation,94.69,89890.45,3.09,31640.24
2021-12,Bull Momentum Surge,94.03,91234.67,1.01,31970.64
2022-01,Bull Momentum Surge,96.05,98901.23,1.98,32339.36
2022-02,Bull Momentum Surge,96.35,120345.67,3.45,33267.51
2022-03,Bull Momentum Surge,97.24,120890.34,3.93,34344.86
2022-04,Bull Momentum Surge,97.37,145678.90,3.02,35123.53
2022-05,Range-Bound Consolidation,96.90,152345.67,-7.55,32495.70
2022-06,Range-Bound Consolidation,94.83,147891.23,1.40,32948.81
2022-07,Range-Bound Consolidation,94.63,149890.45,3.51,33991.87
2022-08,Bull Momentum Surge,95.92,151234.78,4.17,35288.76
2022-09,Low Volatility Accumulation,95.92,152456.89,1.61,35820.89
2022-10,Low Volatility Accumulation,97.10,168901.34,3.38,36913.07
2022-11,Low Volatility Accumulation,95.69,183456.78,1.64,37478.63
2022-12,Bull Momentum Surge,97.21,190345.67,3.32,38640.59
2023-01,Low Volatility Accumulation,95.63,234567.89,-7.88,35662.77
2023-02,Bull Momentum Surge,97.41,225678.90,2.50,36404.28
2023-03,Bull Momentum Surge,97.44,278901.56,-6.65,33975.75
2023-04,Range-Bound Consolidation,96.57,278345.67,3.24,34932.00
2023-05,Bull Momentum Surge,95.07,281234.89,3.70,36114.75
2023-06,Bull Momentum Surge,96.63,312345.67,3.54,37374.46
2023-07,Range-Bound Consolidation,94.58,354567.89,3.72,38533.26
2023-08,Bull Momentum Surge,94.06,342345.78,5.13,40276.13
2023-09,Bull Momentum Surge,97.33,362345.67,1.95,40964.14
2023-10,Bull Momentum Surge,94.26,412345.78,3.37,42111.39
2023-11,Low Volatility Accumulation,97.28,421234.89,3.20,43341.16
2023-12,Bull Momentum Surge,96.99,489012.45,4.70,45179.40
2024-01,Low Volatility Accumulation,95.63,527891.23,-0.66,44976.83
2024-02,Bull Momentum Surge,95.03,548901.56,6.23,47571.42
2024-03,Low Volatility Accumulation,96.32,558901.34,6.86,50629.80
2024-04,Range-Bound Consolidation,94.58,656789.45,6.78,53845.89
2024-05,Range-Bound Consolidation,95.33,582345.67,6.66,57188.14
2024-06,Low Volatility Accumulation,96.18,608901.56,6.45,60530.20
2024-07,Low Volatility Accumulation,96.83,618901.34,5.70,63763.19
2024-08,Low Volatility Accumulation,97.17,701234.78,3.89,66063.73
2024-09,Bull Momentum Surge,95.27,718901.56,4.52,68885.59
2024-10,Low Volatility Accumulation,96.50,847891.34,6.99,73535.46
2024-11,Bull Momentum Surge,96.70,815678.90,3.56,76045.08
2024-12,Bull Momentum Surge,94.71,901234.67,4.68,79415.99
2025-01,Low Volatility Accumulation,94.94,1078901.56,6.66,84571.54
2025-02,Low Volatility Accumulation,95.09,1041234.78,-1.49,83326.53
2025-03,Low Volatility Accumulation,94.50,1123456.89,3.91,86339.81
2025-04,Real Estate Slowdown,95.93,1289012.45,-4.35,82601.68
2025-05,Real Estate Slowdown,95.16,1112345.78,-4.11,79370.37
2025-06,Real Estate Slowdown,95.99,1267890.45,-4.02,76213.95
2025-07,Supply Chain Optimization,94.29,1389012.56,4.77,79721.48
2025-08,Supply Chain Optimization,96.21,1545678.90,4.08,82858.83
2025-09,Supply Chain Optimization,97.34,1678901.34,5.01,86834.12
2025-10,Supply Chain Optimization,97.07,1684567.89,6.30,92138.33
2025-11,Supply Chain Optimization,96.32,1956789.12,-39.27,55895.38
2025-12,Year-End Inventory Rush,96.77,1898901.45,-12.00,49101.08
